Sat Aug 29 05:22:49 PDT 2015 --  Therefore,there is now no condemnation for those who are in Christ Jesus. Romans-8-1
Thu Jul 03 15:33:26 PDT 2014 --  Apparently, the truths we hold to be self-evident need to be explained to some people again.
Wed Jul 09 09:49:07 PDT 2014 --  God wants what's best for you. So to not want God is to not want what's best for you.
Wed Jul 09 08:14:20 PDT 2014 --  The first decision we make each day is who's in charge. Who we pick will determine a lot about where we'll end up.
Wed Jul 09 03:40:43 PDT 2014 --  The Lord is my light and my salvation;who shall I fear?The Lord is the strength of my life;of whom shall I be afraid. Psalm27-1
Tue Jul 08 06:11:06 PDT 2014 --  They will still bear fruit in old age,they will stay fresh and green. Psalm-92-14
Mon Jul 07 19:02:11 PDT 2014 --  Very sad to see Costco pull a stunt like this in retaliation to Dinesh D&#8217;Souza&#8217;s new movie http://youngcons.com/very-sad-to-see-costco-pull-a-stunt-like-this-in-retaliation-to-dinesh-dsouzas-new-movie/ …
Tue Jul 08 03:34:49 PDT 2014 --  I'm very disappointed to hear #Costco is removing the book _America_ from its shelves. Won't be buying groceries there today. @CostcoTweets
Mon Jul 07 20:49:29 PDT 2014 --  I always eat chips and dip like I’ve never tasted them before.
Mon Jul 07 04:13:42 PDT 2014 --  I personally spoke with an Arizona law enforcement officer who had taken four what he called "Taliban" out of the back of an 18 wheeler.
Mon Jul 07 02:53:43 PDT 2014 --  Come to me,all you who are weary and burdened,and I will give you rest. Matthew-11-28
Sun Jul 06 07:51:10 PDT 2014 --  Headed to church. Legs are doing better.
Sun Jul 06 06:25:54 PDT 2014 --  The Son is the radiance of God's glory and the exact representation of His being,sustaining all things by His powerful word. Hebrews-1-3
Sat Jul 05 07:23:33 PDT 2014 --  Borrowing and printing money to sustain unworkable entitlement programs is downright stupid.
Sat Jul 05 06:20:42 PDT 2014 --  He shall call upon Me and I will answer him;I will be with him in trouble;I will deliver and honor him. Psalm-91-15
Fri Jul 04 08:18:03 PDT 2014 --  Dogs are tough. I’ve been interrogating this one for hours and he still won’t tell me who is a good boy.
Fri Jul 04 08:00:16 PDT 2014 --  Happy 4th of July! Made this a few years ago for the men & women who proudly serve our country & keep this land FREE https://www.youtube.com/watch?v=5KmUm66juvE …
Fri Jul 04 06:19:21 PDT 2014 --  Still believe in abortion? still believe its not a living human in the womb? Watch this! Abortion=murder! https://m.facebook.com/story.php?story_fbid=10201508415226978&id=1674443307 …
Fri Jul 04 05:37:12 PDT 2014 --  The Lord Himself goes before you and will be with you;He will never leave you nor forsake you.Do not be afraid,do not be discouraged Duet-31
Wed Jul 02 16:21:20 PDT 2014 --  Scripture I need tattooed on my approval seeking heart: “Woe to you when all people speak well of you.” (Luke 6:26)
Wed Jul 02 09:04:08 PDT 2014 --  Dear paranoid people who check behind shower curtains for murderers, if you do find one what’s the plan?
Wed Jul 02 03:46:23 PDT 2014 --  Jesus said to him,I am the Way,the Truth and the Life.No man comes to the Father except through Me. John-14-6
Tue Jul 01 19:47:42 PDT 2014 --  Please Help & RT: I'm trying to locate this type of formula 4 a special needs child in dire need of this ASAP. #BBAF pic.twitter.com/fNgOLXY0t6
Mon Jun 30 07:39:36 PDT 2014 --  RT @FaithandFreedom: #SCOTUS rules in favor of #HobbyLobby for a win on religious liberty. God Bless America.
Mon Jun 30 06:33:16 PDT 2014 --  Let the morning bring me word of Your unfailing love,for I have put my trust in You,show me the way I should go,for to You I lift up my soul
Sun Jun 29 10:22:07 PDT 2014 --  I know my limits. I don’t pay any attention to them, but I know them.
Sun Jun 29 06:03:56 PDT 2014 --  But those who hope in The Lord will renew their strength.They will soar on wings like eagles,they will run and not be weary Isaiah-40
Sun Jun 29 03:45:25 PDT 2014 --  A thousand times I've failed, still Your mercy remains.
Sat Jun 28 23:34:12 PDT 2014 --  Aslan to #PrinceCaspian - "If you had felt yourself sufficient, it would have been proof that you were not.” ~ #CSLewis
Sat Jun 28 08:06:54 PDT 2014 --  That arrogant little guy from the IRS needs his wings clipped,they ought to bring him in front of Judge Judy.
Sat Jun 28 05:45:08 PDT 2014 --  Blessed are the merciful for they will be shown mercy. Matthew-5
Sat Jun 28 05:48:19 PDT 2014 --  There is nothing like starting a fresh day with a fresh attitude,feet on the path,eye on the prize Let's all make the day count.
Fri Jun 27 13:04:10 PDT 2014 --  I’m going to the gym now. Not bragging. Just want you to know where to send the ambulance.
Fri Jun 27 22:00:04 PDT 2014 --  Instead of saying, “I’m going to bed,” I probably should just say, “I’m going to stare at my phone lying down.”
Fri Jun 27 06:33:14 PDT 2014 --  For God so loved the world that He gave His only begotten Son that whosoever believes in Him will not perish but have eternal life Jon-3-16
Thu Jun 26 12:24:05 PDT 2014 --  Who says I can't cook? You've obviously never tasted my cereal!
Wed Jun 25 21:48:35 PDT 2014 --  "You will certainly carry out God's purpose, however you act, but it makes a difference to you whether you serve like Judas or like John."
Wed Jun 25 21:37:54 PDT 2014 --  A God you understood would be less than yourself. - Flannery O’Connor
Wed Jun 25 09:07:59 PDT 2014 --  If people are talking behind your back, then just fart.
Wed Jun 25 12:26:11 PDT 2014 --  Door bells should be made illegal in commercials. Pet owners know what I’m talking about.
Wed Jun 25 19:33:33 PDT 2014 --  The main stream media has turned into a gaggle of journalistic prostitutes selling their integrity to promote a political agenda.
Wed Jun 25 03:59:19 PDT 2014 --  And you shall know the truth, and the truth shall make you free. John-8-32
Tue Jun 24 14:46:34 PDT 2014 --  "When you are arguing against God you are arguing against the very power that makes you able to argue at all." - #CSLewis
Mon Jun 23 16:11:57 PDT 2014 --  The loss of the IRS emails was caused by global warming.
Mon Jun 23 16:09:22 PDT 2014 --  The Benghazi video ate Lois Lerner's emails.
Mon Jun 23 16:06:39 PDT 2014 --  Lois Lerner's emails sleep with the fishes
Mon Jun 23 12:16:01 PDT 2014 --  I am definitely the most mature out of everyone in my imaginary circle of friends.
Mon Jun 23 12:00:57 PDT 2014 --  Clintons/Obamas show elitism by their definition of past "poverty." Ever scrounged for coins in the couch to buy necessities? Then shut up.
Mon Jun 23 05:19:47 PDT 2014 --  For as the heavens are higher than the earth,so are My ways higher than your ways and My thoughts than your thoughts. Isaiah-55-9
Sun Jun 22 16:10:19 PDT 2014 --  I’ve yet to be intimidated by a fancy wine list thanks to my vast knowledge of fine wines and my eeny, meeny, miny, moe system.
Sun Jun 22 05:21:35 PDT 2014 --  It takes a lot more energy to plan revenge than it does to forgive,one cleanses ,one destroys. Let's all make the day count
Sun Jun 22 05:17:51 PDT 2014 --  Come to Me ,all you who are weary and burdened, and I will give you rest. Matthew-11-28
Sat Jun 21 12:51:07 PDT 2014 --  I'm not sure I'll ever learn that inanimate objects pay no attention whatsoever when you shout "NO!" at them.
Sat Jun 21 09:19:52 PDT 2014 --  "Be found at one's post, living each day as though it were our last, but planning as though our world might last 100 years." ~ #CSLewis
Sat Jun 21 09:04:16 PDT 2014 --  Facebook needs a button that’s the equivalent of kicking someone under the table to stop them from making a fool of themselves.
Sat Jun 21 07:00:20 PDT 2014 --  Never let anyone tell you that you can't do something, because the Bible says you can do all things through him which strengthens you.
Fri Jun 20 17:33:59 PDT 2014 --  Awesome. pic.twitter.com/NUm18KNwOl
Fri Jun 20 17:24:07 PDT 2014 --  EVERY knee will bow and EVERY tongue will confess that Jesus Christ is Lord to the glory of God.
Thu Jun 19 16:40:16 PDT 2014 --  How's that Keystone Pipeline looking to ya. now Obama? Any second thoughts as the Middle East blows up?
Thu Jun 19 16:32:05 PDT 2014 --  Don't worry about misplacing the emails IRS,Obama has misplaced the dadblamed constitution.
Thu Jun 19 16:30:22 PDT 2014 --  The biggest snow job in history is taking place right here in this blistering weather,courtesy of the IRS
Thu Jun 19 12:45:25 PDT 2014 --  Obama is an honorable person. Just ask the people under the bus
Thu Jun 19 12:24:00 PDT 2014 --  Cereal is an acceptable meal at all times of the day.
Thu Jun 19 12:16:41 PDT 2014 --  Lois Lerner may have lost her E mails but she has not lost her paycheck Unbelievable!!!
Wed Jun 18 04:03:52 PDT 2014 --  Come to Me,all you who are weary and burdened,and I will give you rest. Matthew-11
Tue Jun 17 18:59:06 PDT 2014 --  Wonder what would happen if you told the IRS you lost your receipts
Tue Jun 17 15:54:35 PDT 2014 --  Having a cat is the best preparation for being rejected.
Tue Jun 17 14:18:17 PDT 2014 --  "Satan is a liberal." Read this, liberal Christians. There will be weeping and gnashing of teeth. #p2 http://themattwalshblog.com/2014/06/17/satan-liberal/ …
Tue Jun 17 11:57:14 PDT 2014 --  Demopubs and Republicrats ,can't tell much difference these days
Tue Jun 17 05:17:47 PDT 2014 --  Trust in Him at all times,oh people;pour your hearts out to Him,for God is our refuge. Psalm-62
Mon Jun 16 14:46:21 PDT 2014 --  "Continue seeking Him with seriousness. Unless He wanted you, you would not be wanting Him.” ― #CSLewis
Mon Jun 16 04:00:50 PDT 2014 --  He who kneels before God can stand before anyone.
Mon Jun 16 05:39:31 PDT 2014 --  He will shield you with His wings,they will shelter you,His faithful promises are your armor. Psalm-91
Sun Jun 15 16:36:42 PDT 2014 --  For he has rescued us from the kingdom of darkness and transferred us into the Kingdom of his dear Son, (Colossians 1:13 NLT)
Sun Jun 15 12:30:35 PDT 2014 --  If she believes her imaginary unicorn poops rainbows, it must be true. #ImABlessedDad pic.twitter.com/mC85ICLWSj
Sun Jun 15 06:05:45 PDT 2014 --  Trust in The Lord with all your heart and lean not on your own understanding. Proverbs-3-5
Sat Jun 14 06:30:40 PDT 2014 --  It still happens in our part of the country. pic.twitter.com/ACpHfOcLOV
Sat Jun 14 06:09:41 PDT 2014 --  God did not send His Son into the world to condemn it,but to save it. John-3-17
Fri Jun 13 13:04:04 PDT 2014 --  If guns kill people, then pencils misspell words, cars make people drive drunk, and spoons make people fat.
Fri Jun 13 05:45:06 PDT 2014 --  Do not judge,or you too will be judged.For in the same way you judge others, you will be judged Like-7
Thu Jun 12 11:36:28 PDT 2014 --  Hey, we need some more Phil and Kay and less Kim and Kanye.
