Fri Aug 28 07:20:24 PDT 2015 --  ビール→カクテル→日本酒という黄金の系統で見事にグロッキー。
Sat Mar 21 05:49:27 PDT 2015 --  気になったのは試合内容。相手は、社会人のアマチュアのそれほど強くないチームなのに、最後はサヨナラ負けするのではないかというとこまで押されていました。結果は１対１の引き分け。ミスもプロらしくないミスでした。果たしてお金を払ってまで見る価値があるかは現時点では疑問符がつく内容でした。
Sat Mar 21 05:48:58 PDT 2015 --  今日はほばら大泉球場に福島ホープスを見に行ってきました。対戦相手は地元富士通 アイソテックベースボールチームとの試合でした。ホープスは富士通アイソテックの体育館でアイソテックベースボールチームと合同自主トレを行っておりその繋がりからの練習試合の実現と思われます。
Sat Mar 21 00:34:21 PDT 2015 --  サインする外国人選手。 pic.twitter.com/RE1Erl4Gs7
Sat Mar 21 00:26:02 PDT 2015 --  試合は引き分けでした。あ、岩村監督だ!!! pic.twitter.com/RJ0KErulcF
Fri Mar 20 23:19:01 PDT 2015 --  いい試合してるよ。 pic.twitter.com/RTBIKu7UFH
Fri Mar 20 22:20:36 PDT 2015 --  ホープスが1ー0で勝ってます。 pic.twitter.com/doTtDeOgFZ
Fri Mar 20 22:04:09 PDT 2015 --  ほばら大泉球場に福島ホープスを見に来ました。あったかい。 pic.twitter.com/NTH8e91BDE
Sat Mar 14 19:25:49 PDT 2015 --  福島ホープス、３月２１日（土）１３時～　ほばら大泉球場にて富士通アイソテックとの練習試合とな。あ～用事があって観に行けない。。。
Fri Mar 20 02:24:03 PDT 2015 --  これから福島市の飲み会へレッツゴー!!!
Thu Mar 19 18:33:42 PDT 2015 --  自宅の柿の木にとまるヒヨドリ。you tube アップいたしました。よろしければ　どうぞ。http://youtu.be/Hll6RfcNk2M  pic.twitter.com/9Rk2Rf4Idi
Thu Mar 19 07:03:53 PDT 2015 --  Also to everyone tonight, and .... as a nice dream will come Good night. pic.twitter.com/VlI1fgcvlv
Thu Mar 19 06:43:54 PDT 2015 --  @niwashinokane34 照れながら喜んでくれたよ( ^-^)ノ∠※。.:*:・'°☆ pic.twitter.com/uU0MhLPWsK
Thu Mar 19 06:12:00 PDT 2015 --  Jr. 君に野球のグローブ買ってあげた。まだ渡してないけど、風邪の粉薬を上手に飲めたらプレゼントしてあげようっと。もちろん俺の憧れ、ローリングスだからね～(^_^)v
Thu Mar 19 04:49:05 PDT 2015 --  平成２７年５月３０日に「ミュージック花火」あづま球場で１万発 - 47NEWS（よんななニュース） http://www.47news.jp/smp/localnews/odekake/2015/03/post-20150319135349.html … これ絶対行きたい。今日からチケット民報取扱店で販売だそうだ。
Thu Mar 19 04:47:44 PDT 2015 --  おいでおいでよ、福島においでよ。 右折しようとしても対向車が道を譲ってくれない車が多いよ。
Thu Mar 19 04:47:40 PDT 2015 --  おいでおいでよ、福島においでよ。 車が曲がる時、ウインカーだすより先にブレーキ踏む人がいっぱいいるよ。
Thu Mar 19 04:47:33 PDT 2015 --  ある方がやっていたネタが面白かったので俺も作ってみた。 おいでおいでよ、福島においでよ。 人柄はいい人多いけど、人のことにあまり干渉しないマイペースな人が多いよ。
