Tue Aug 25 11:33:49 PDT 2015 --  be smart. don't make stupid choices.
Tue Jun 02 12:47:01 PDT 2015 --  The Salah of heretics, such as Wahhabis, Deobandis etc. is merely exercise like Sayyidi Ala Hazrat said. https://twitter.com/therealfan187/status/605819936938692608 …
Tue Jun 02 12:58:40 PDT 2015 --  For those who are inclined towards Allah, it is necessary they are soft-spoken, kind-hearted & shed tears in His remembrance. #shabeBaraat
Tue Jun 02 13:47:09 PDT 2015 --  I used to walk into a room and wonder if they liked me. Now I wonder if I like them.
Tue Jun 02 13:42:03 PDT 2015 --  "money doesn't buy happiness" ok give it to me i'll show u how it's done
Tue Jun 02 13:43:01 PDT 2015 --  I am Wahabism. Join our 2 month Fiqh course today & become a SuperScholar in theology, Islamic history, Quran & politics.
Tue Jun 02 13:32:04 PDT 2015 --  i'm more tired than these two combined pic.twitter.com/n37hyT0pU4
Tue Jun 02 13:29:52 PDT 2015 --  Subscribe to my YouTube channel to make sure you're notified when new content is uploaded! http://www.youtube.com/subscription_center?add_user=lordaleem …
Tue Jun 02 12:44:27 PDT 2015 --  Forty times before sunset today: لا حولا ولا قوة الا با لله العلي العظيم "Lā Hawla Wa Lā Quwwata Illā Billāhil 'Aliyyi-l 'Adhīm"
Tue Jun 02 12:46:42 PDT 2015 --  It is man who commits sin, disobedience & negligence but Allah also gives message to the sinners not to be disappointed. #shabeBaraat
Tue Jun 02 13:07:58 PDT 2015 --  Allah's Mercy awaits prayer of His servants on the 15th night of Shabaan.The moment one prays, His Mercy start showering on him #shabeBaraat
Tue Jun 02 12:22:07 PDT 2015 --  Please forgive me for all my mistakes. Whoever you are, I must've done something that made you angry. So please forgive me
Mon Jun 01 09:52:11 PDT 2015 --  Māshā Allāh. Mabrook Hazrat Please remember this sinner in your Du'ās. Wish I was coming with you @Shaykh_Monawwar
Mon Jun 01 10:10:33 PDT 2015 --  Seeing many people asking for #Forgiveness from each other on Twitter and Whatsapp. This is a beautiful act that we don’t do often enough.
Mon Jun 01 10:21:54 PDT 2015 --  Please remember me & my family in your Du'ās. May we all get to see the blessed month of Ramadhān and benefit from it to the max inshā Allāh
Mon Jun 01 10:19:55 PDT 2015 --  May Allah ﷻ keep all of you safe from any distress or calamity and bless your lives with tranquility, contentment and an abundance of joy
Mon Jun 01 10:20:57 PDT 2015 --  I pray that you #Tweeps and your families are blessed with the wealth of Imān and success in both this dunyā and the ākhirah.
Mon Jun 01 21:28:54 PDT 2015 --  Have to take it easy on issues where there is legitimate disagreement amongst scholars. There are 4 schools of Fiqh after all
Mon Jun 01 21:30:22 PDT 2015 --  Instead of advising, we become one who oppresses when we try to force our opinion on others.Legitimate differences are a mercy for the Ummah
Tue Jun 02 08:20:25 PDT 2015 --  Shab-e-Bara'at Mubarak! Take full advantage of this night. Offer special prayers & repent sincerely for past sins & ask for His Forgiveness
Tue Jun 02 08:46:27 PDT 2015 --  In shā Allāh Maulana will do. You also please remember my family & me. Love & Salām to my niece please @Taib_Munira https://twitter.com/mhuseinqadri/status/605757437203869696 …
Tue Jun 02 12:17:09 PDT 2015 --  Why is this dunya so weird.?
Tue Jun 02 10:02:23 PDT 2015 --  Sepp Blatter has resigned.
Tue Jun 02 07:34:02 PDT 2015 --  Fabregas on Messi moving to #CFC: "That's something I would have to ask him, I'm nothing. But I always see Messi and Barca together."
Tue Jun 02 07:16:13 PDT 2015 --  On the night of Shab-e-Barat may Allah forgive all our sins and accept all our dua's.
Tue Jun 02 07:13:44 PDT 2015 --  Food For Thought Allah's Name (we) begin with, The Compassionate Most Merciful As Salaatu Was Salaamu Alaika Ya... http://fb.me/2VIflcPd3 
Tue Jun 02 07:10:16 PDT 2015 --  This was taken from Imam al-Haddad's book entitled "The Book of Assistance" pic.twitter.com/6aHUGejUP9
Tue Jun 02 07:08:27 PDT 2015 --  If he accepts your advice praise and thank God, if he does not then blame yourself and say...(1/2)
Tue Jun 02 07:08:44 PDT 2015 --  Oh evil soul! It is through you that I was defeated! Think! You may not have fulfilled the conditions and properties of giving advice." (2/2
Tue Jun 02 07:07:50 PDT 2015 --  Them Muslims who comment on the religion with an opinion they get from a song's lyrics... Please
Tue Jun 02 07:04:37 PDT 2015 --  Verily Allāh the Glorious & Majestic forgives those who ask forgiveness & He bestows mercy on those who ask for mercy pic.twitter.com/LlORmSGnFX
Tue Jun 02 06:41:52 PDT 2015 --  When your life is in darkness & nothing is right... Remember, through the darkness, Allah is The Light... #Quran
Tue Jun 02 06:54:06 PDT 2015 --  #ShabeBaraat Mubarak to all the Muslim brothers and sisters all across the world. Please pray for yourself,others and Recite @DuroodSharif
Tue Jun 02 05:09:15 PDT 2015 --  #ShabEBarat pic.twitter.com/lWRcXDMOfo
Tue Jun 02 05:10:15 PDT 2015 --  #ShabEBarat pic.twitter.com/YRD6NkuuhV
Tue Jun 02 05:10:16 PDT 2015 --  Ghaltiyan hazaar theen Aur maaf kerne wala sirf Mera Allah #ShabEBarat
Tue Jun 02 05:10:43 PDT 2015 --  آج کی اچھی بات "کائنات کی سب سے مہنگی چیز احساس ہے جو دنیا کے ہر انسان کے پاس نہیں ہوتی " #ShabEBarat
Tue Jun 02 05:11:15 PDT 2015 --  شب برات!اہل ایمان کے لئے بخشش اورمغفرت کی رات #ShabEBarat
Tue Jun 02 05:12:20 PDT 2015 --  #shabebarat ya Allah hm tuj sa teri rehmat ka talbgar ha
Tue Jun 02 05:12:11 PDT 2015 --  SHAB-E-BARAT Mubarak to all Muslims, Night of forgiveness #shabebarat remember me in ur prayers
Tue Jun 02 05:13:14 PDT 2015 --  #ShabEBarat
Tue Jun 02 05:13:41 PDT 2015 --  #ShabEBarat pic.twitter.com/oIEFqTj3aQ
Tue Jun 02 05:13:47 PDT 2015 --  Shab-e-Barat Aaj Intehai Aqidat-o-Ahtram Se Manai Jayegi Nawafil Ada Kiye Jaenge Jab K Raat Gaye Masajid Me Mehafil Hogi. #ShabEBarat
Tue Jun 02 05:13:57 PDT 2015 --  Jo shaks sajdon me rota hai Usse taqdeer pr rona nhi prta #ShabEBarat
Tue Jun 02 05:14:33 PDT 2015 --  #ShabEBarat pic.twitter.com/ghpkMeqkME
Tue Jun 02 05:15:04 PDT 2015 --  Mujhe pukaro, Mujh se mango Main tumhari duae qubool krne wala hon #ShabEBarat
Tue Jun 02 05:15:30 PDT 2015 --  #ShabEBarat pic.twitter.com/asgFukeP64
Tue Jun 02 05:15:54 PDT 2015 --  #ShabEBarat pic.twitter.com/kcgJUXYmb5
Tue Jun 02 05:16:50 PDT 2015 --  #ShabEBarat pic.twitter.com/quM2hz1yN6
Tue Jun 02 05:17:50 PDT 2015 --  #ShabEBarat pic.twitter.com/vPvcBpapek
