Sat Apr 25 13:19:01 PDT 2015 --  بين يوم و ليلة فية ناس بتيجيّ... و ناس تغيبيب و الي انهردا حبيبي بكرة الاقية غريب
Sat Mar 14 14:21:56 PDT 2015 --  اللَّهُمَّ إنا نعوذ بك من أن نشرك بك شيئا نعلمه ونستغفرك لما لا نعلم http://du3a.org 
Sat Mar 14 13:22:22 PDT 2015 --  اللهم إني أسألك من الخير ما سألك عبدك ورسولك محمد http://du3a.org 
Sat Mar 14 12:22:31 PDT 2015 --  اللَّهُمَّ طهر قلبي من النفاق ، وعملي من الرياء ، ولساني من الكذب ، وعيني من الخيانة http://du3a.org 
Sat Mar 14 11:21:00 PDT 2015 --  اللهم إني أعوذ بك من زوال نعمتك ، وتحول عافيتك ، وفجاءة نقمتك ، وجميع سخطك http://du3a.org 
Sat Mar 14 10:21:31 PDT 2015 --  اللَّهُمَّ أعني ولا تعن علي وانصرني ولا تنصر علي وامكر لي ولا تمكر علي واهدني http://du3a.org 
Sat Mar 14 09:20:26 PDT 2015 --  اللهم يا مقلب القلوب ثبت قلبي على دينك http://du3a.org 
Sat Mar 14 06:19:34 PDT 2015 --  اللهم إني أعوذ بك من عذاب جهنم وأعوذ بك من عذاب القبر وأعوذ بك من فتنة الدجال وأعوذ بك من فتنة المحيا والممات http://du3a.org 
Sat Mar 14 05:18:10 PDT 2015 --  اللهم إني أعوذ بك من علم لا ينفع ومن قلب لا يخشع ومن نفس لا تشبع ومن دعوة لا يستجاب لها http://du3a.org 
Sat Mar 14 04:16:00 PDT 2015 --  اللهم إني أسألك الجنة وما يقرب إليها من قول وعمل http://du3a.org 
Sat Mar 14 03:15:24 PDT 2015 --  اللَّهُمَّ اغفر لي خطأي وعمدي وهزلي وجدي ولا تحرمني بركة ما أعطيتني ولا تفتني فيما حرمتني http://du3a.org 
Sat Mar 14 00:16:21 PDT 2015 --  اللَّهُمَّ اغفر لي جميع ما مضى من ذنبي واعصمني فيما بقي من عمري وارزقني عملاً زاكيا ترضى به عني http://du3a.org 
Fri Mar 13 23:16:58 PDT 2015 --  اللهم إني أسألك من الخير ما سألك عبدك ورسولك محمد http://du3a.org 
Fri Mar 13 20:16:52 PDT 2015 --  اللَّهُمَّ أَعِنِّي عَلَى ذِكْرِكَ وَشُكْرِكَ وَحُسْنِ عِبَادَتِكَ http://du3a.org 
Fri Mar 13 18:17:24 PDT 2015 --  اللهم إني أعوذ بك من زوال نعمتك ، وتحول عافيتك ، وفجاءة نقمتك ، وجميع سخطك http://du3a.org 
Fri Mar 13 16:17:53 PDT 2015 --  اللَّهُمَّ إنا نعوذ بك من أن نشرك بك شيئا نعلمه ونستغفرك لما لا نعلم http://du3a.org 
Fri Mar 13 14:19:22 PDT 2015 --  اللَّهُمَّ إنا نسألك عزائم مغفرتك ومنجيات أمرك والسلامة من كل إثم والغنيمة من كل بر والفوز بالجنة والنجاة من النار http://du3a.org 
Fri Mar 13 13:18:41 PDT 2015 --  اللَّهُمَّ بارك لنا في أسماعنا وأبصارنا وقلوبنا وأرواحنا وذرياتنا وتب علينا إنك أنت التواب الرحيم http://du3a.org 
Fri Mar 13 12:17:59 PDT 2015 --  اللهم إني أعوذ بك من الهم والحزن والعجز والكسل والجبن والبخل وأعوذ بك من غلبة الدين وقهر الرجال http://du3a.org 
Fri Mar 13 10:17:15 PDT 2015 --  اللهم يا مقلب القلوب ثبت قلبي على دينك http://du3a.org 
Fri Mar 13 08:16:29 PDT 2015 --  اللَّهُمَّ احفظني من بين يدي ومن خلفي وعن يميني وعن شمالي ومن فوقي وأعوذ بعظمتك أن أغتال من تحتي http://du3a.org 
Fri Mar 13 06:17:02 PDT 2015 --  اللَّهُمَّ إني أعوذ بك من قلب لا يخشع ودعاء لا يسمع ومن نفس لا تشبع ومن علم لا ينفع أعوذ بك من هؤلاء الأربع http://du3a.org 
Fri Mar 13 05:19:13 PDT 2015 --  اللَّهُمَّ عافني في بدني ، اللَّهُمَّ عافني في سمعي ، اللَّهُمَّ عافني في بصري http://du3a.org 
Fri Mar 13 04:20:24 PDT 2015 --  اللَّهُمَّ استر عورتي وآمن روعتي واحفظني من بين يدي ومن خلفي وعن يميني وعن شمالي http://du3a.org 
Fri Mar 13 03:21:27 PDT 2015 --  اللَّهُمَّ إني أسألك بنور وجهك الذي أشرقت له السموات والأرض أن تجعلني في حرزك وحفظك وجوارك وتحت كنفك http://du3a.org 
Fri Mar 13 02:22:27 PDT 2015 --  اللهم إني أسألك من الخير كله عاجله وآجله http://du3a.org 
Fri Mar 13 01:21:56 PDT 2015 --  اللهم لا تجعل الدنيا اكبر همنا ولا مبلغ علمنا ولا إلى النار مصيرنا وأجعل الجنة هي دارنا وقرارنا http://du3a.org 
Fri Mar 13 00:17:10 PDT 2015 --  اللهم إني أعوذ بك من عذاب جهنم وأعوذ بك من عذاب القبر وأعوذ بك من فتنة الدجال وأعوذ بك من فتنة المحيا والممات http://du3a.org 
Thu Mar 12 20:09:21 PDT 2015 --  اللهم اقذف في قلبي رجاءك واقطع رجائي عمن سواك حتى لا أرجو أحداً غيرك http://du3a.org 
Thu Mar 12 19:10:24 PDT 2015 --  اللَّهُمَّ اغفر لي جميع ما مضى من ذنبي واعصمني فيما بقي من عمري وارزقني عملاً زاكيا ترضى به عني http://du3a.org 
Thu Mar 12 17:15:58 PDT 2015 --  اللَّهُمَّ بارك لنا في أسماعنا وأبصارنا وقلوبنا وأرواحنا وذرياتنا وتب علينا إنك أنت التواب الرحيم http://du3a.org 
Thu Mar 12 16:12:58 PDT 2015 --  اللهم اجعل القرآن العظيم ربيع قلوبنا ونور صدورنا وجلاء همومنا http://du3a.org 
Thu Mar 12 15:12:24 PDT 2015 --  اللَّهُمَّ عافني في بدني ، اللَّهُمَّ عافني في سمعي ، اللَّهُمَّ عافني في بصري http://du3a.org 
Thu Mar 12 14:12:48 PDT 2015 --  اللَّهُمَّ أعني ولا تعن علي وانصرني ولا تنصر علي وامكر لي ولا تمكر علي واهدني http://du3a.org 
Thu Mar 12 13:11:25 PDT 2015 --  اللَّهُمَّ استر عورتي وآمن روعتي واحفظني من بين يدي ومن خلفي وعن يميني وعن شمالي http://du3a.org 
Thu Mar 12 11:13:11 PDT 2015 --  اللهم إني أعوذ بك من النار وما قرب إليها من قول وعمل http://du3a.org 
Thu Mar 12 10:16:17 PDT 2015 --  اللهم إني أسألك الجنة وما يقرب إليها من قول وعمل http://du3a.org 
Thu Mar 12 09:16:44 PDT 2015 --  اللَّهُمَّ اغفر لي خطأي وعمدي وهزلي وجدي ولا تحرمني بركة ما أعطيتني ولا تفتني فيما حرمتني http://du3a.org 
Thu Mar 12 08:15:44 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت أنت المقدم وأنت المؤخر وأنت على كل شيء قدير http://du3a.org 
Thu Mar 12 07:15:49 PDT 2015 --  اللَّهُمَّ اقْسِمْ لَنَا مِنْ خَشْيَتِكَ مَا يَحُولُ بَيْنَنَا وَبَيْنَ مَعَاصِيك http://du3a.org 
Thu Mar 12 06:15:03 PDT 2015 --  اللَّهُمَّ طهر قلبي من النفاق ، وعملي من الرياء ، ولساني من الكذب ، وعيني من الخيانة http://du3a.org 
Thu Mar 12 05:13:58 PDT 2015 --  اللهم إني أسألك من الخير ما سألك عبدك ورسولك محمد http://du3a.org 
Thu Mar 12 04:13:43 PDT 2015 --  اللَّهُمَّ احفظني من بين يدي ومن خلفي وعن يميني وعن شمالي ومن فوقي وأعوذ بعظمتك أن أغتال من تحتي http://du3a.org 
Wed Mar 11 23:11:57 PDT 2015 --  اللَّهُمَّ اغفر لي جميع ما مضى من ذنبي واعصمني فيما بقي من عمري وارزقني عملاً زاكيا ترضى به عني http://du3a.org 
Wed Mar 11 22:14:10 PDT 2015 --  اللهم اقذف في قلبي رجاءك واقطع رجائي عمن سواك حتى لا أرجو أحداً غيرك http://du3a.org 
Wed Mar 11 19:17:37 PDT 2015 --  اللهم إني أعوذ بك من علم لا ينفع ومن قلب لا يخشع ومن نفس لا تشبع ومن دعوة لا يستجاب لها http://du3a.org 
Wed Mar 11 18:17:36 PDT 2015 --  اللَّهُمَّ إني أعوذ بك من قلب لا يخشع ودعاء لا يسمع ومن نفس لا تشبع ومن علم لا ينفع أعوذ بك من هؤلاء الأربع http://du3a.org 
Wed Mar 11 17:16:33 PDT 2015 --  اللَّهُمَّ افتح مسامع قلبي لذكرك وارزقني طاعتك وطاعة رسولك وعملا بكتابك http://du3a.org 
Wed Mar 11 15:18:29 PDT 2015 --  اللهم إني أعوذ بك من النار وما قرب إليها من قول وعمل http://du3a.org 
Wed Mar 11 14:19:01 PDT 2015 --  اللهم إني أسألك من الخير كله عاجله وآجله http://du3a.org 
Wed Mar 11 13:18:15 PDT 2015 --  اللَّهُمَّ إنا نسألك عزائم مغفرتك ومنجيات أمرك والسلامة من كل إثم والغنيمة من كل بر والفوز بالجنة والنجاة من النار http://du3a.org 
Wed Mar 11 12:17:13 PDT 2015 --  اللَّهُمَّ احفظني من بين يدي ومن خلفي وعن يميني وعن شمالي ومن فوقي وأعوذ بعظمتك أن أغتال من تحتي http://du3a.org 
Wed Mar 11 11:17:08 PDT 2015 --  اللَّهُمَّ استر عورتي وآمن روعتي واحفظني من بين يدي ومن خلفي وعن يميني وعن شمالي http://du3a.org 
Wed Mar 11 10:17:05 PDT 2015 --  اللَّهُمَّ إني أعوذ بك من يوم السوء ومن ليلة السوء ومن ساعة السوء ومن صاحب السوء ومن جار السوء في دار المقامة http://du3a.org 
Wed Mar 11 07:16:39 PDT 2015 --  اللهم إني أعوذ بك من الهم والحزن والعجز والكسل والجبن والبخل وأعوذ بك من غلبة الدين وقهر الرجال http://du3a.org 
Wed Mar 11 06:15:25 PDT 2015 --  اللهم اجعل القرآن العظيم ربيع قلوبنا ونور صدورنا وجلاء همومنا http://du3a.org 
Wed Mar 11 04:14:32 PDT 2015 --  اللهم اقذف في قلبي رجاءك واقطع رجائي عمن سواك حتى لا أرجو أحداً غيرك http://du3a.org 
Wed Mar 11 03:15:43 PDT 2015 --  اللَّهُمَّ عافني في بدني ، اللَّهُمَّ عافني في سمعي ، اللَّهُمَّ عافني في بصري http://du3a.org 
Wed Mar 11 02:17:02 PDT 2015 --  اللهم إني أسألك من الخير ما سألك عبدك ورسولك محمد http://du3a.org 
Tue Mar 10 23:13:20 PDT 2015 --  اللَّهُمَّ عافني في قُدرتك ، وأدخلني في رحمتك ، واقض أجلي في طاعتك ، واختم لي بخير عمل ، واجعل ثوابه الجنة http://du3a.org 
Tue Mar 10 22:19:31 PDT 2015 --  اللَّهُمَّ أعني ولا تعن علي وانصرني ولا تنصر علي وامكر لي ولا تمكر علي واهدني http://du3a.org 
Tue Mar 10 21:30:52 PDT 2015 --  اللَّهُمَّ إنا نعوذ بك من أن نشرك بك شيئا نعلمه ونستغفرك لما لا نعلم http://du3a.org 
Tue Mar 10 20:43:35 PDT 2015 --  اللَّهُمَّ احفظني من بين يدي ومن خلفي وعن يميني وعن شمالي ومن فوقي وأعوذ بعظمتك أن أغتال من تحتي http://du3a.org 
Tue Mar 10 19:52:35 PDT 2015 --  اللَّهُمَّ طهر قلبي من النفاق ، وعملي من الرياء ، ولساني من الكذب ، وعيني من الخيانة http://du3a.org 
Tue Mar 10 18:32:14 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت http://du3a.org 
Tue Mar 10 17:20:06 PDT 2015 --  اللَّهُمَّ عافني في قُدرتك ، وأدخلني في رحمتك ، واقض أجلي في طاعتك ، واختم لي بخير عمل ، واجعل ثوابه الجنة http://du3a.org 
Tue Mar 10 16:18:34 PDT 2015 --  اللهم إني أعوذ بك من عذاب جهنم وأعوذ بك من عذاب القبر وأعوذ بك من فتنة الدجال وأعوذ بك من فتنة المحيا والممات http://du3a.org 
Tue Mar 10 15:17:44 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت http://du3a.org 
Tue Mar 10 14:17:33 PDT 2015 --  اللَّهُمَّ إني ظلمت نفسي ظلمًا كثيرا ولا يغفر الذنوب إلا أنت فاغفر لي مغفرة من عندك وارحمني إنك أنت الغفور الرحيم http://du3a.org 
Tue Mar 10 13:16:48 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت أنت المقدم وأنت المؤخر وأنت على كل شيء قدير http://du3a.org 
Tue Mar 10 11:15:55 PDT 2015 --  اللَّهُمَّ إني أسألك بنور وجهك الذي أشرقت له السموات والأرض أن تجعلني في حرزك وحفظك وجوارك وتحت كنفك http://du3a.org 
Tue Mar 10 10:15:45 PDT 2015 --  اللهم إني أعوذ بك من النار وما قرب إليها من قول وعمل http://du3a.org 
Tue Mar 10 09:16:20 PDT 2015 --  اللَّهُمَّ إني أعوذ بك من قلب لا يخشع ودعاء لا يسمع ومن نفس لا تشبع ومن علم لا ينفع أعوذ بك من هؤلاء الأربع http://du3a.org 
Tue Mar 10 08:15:49 PDT 2015 --  اللَّهُمَّ لا تكلني إلى نفسي طرفة عين ، ولا تنزع مني صالح ما أعطيتني http://du3a.org 
Tue Mar 10 07:14:34 PDT 2015 --  اللهم إني أعوذ بك من الهم والحزن والعجز والكسل والجبن والبخل وأعوذ بك من غلبة الدين وقهر الرجال http://du3a.org 
Tue Mar 10 06:14:05 PDT 2015 --  اللَّهُمَّ اعطني إيمانا صادقا ويقينا ليس بعده كفر ورحمة أنال بها شرف كرامتك في الدنيا والآخرة http://du3a.org 
Tue Mar 10 05:13:11 PDT 2015 --  اللَّهُمَّ إِنَّكَ عَفُوٌّ كَرِيمٌ تُحِبُّ الْعَفْوَ فَاعْفُ عَنَا http://du3a.org 
Tue Mar 10 04:12:32 PDT 2015 --  اللَّهُمَّ طهر قلبي من النفاق ، وعملي من الرياء ، ولساني من الكذب ، وعيني من الخيانة http://du3a.org 
Tue Mar 10 03:12:24 PDT 2015 --  اللَّهُمَّ أَعِنِّي عَلَى ذِكْرِكَ وَشُكْرِكَ وَحُسْنِ عِبَادَتِكَ http://du3a.org 
Tue Mar 10 01:16:47 PDT 2015 --  اللَّهُمَّ افتح مسامع قلبي لذكرك وارزقني طاعتك وطاعة رسولك وعملا بكتابك http://du3a.org 
Tue Mar 10 00:15:51 PDT 2015 --  اللَّهُمَّ إنا نعوذ بك من أن نشرك بك شيئا نعلمه ونستغفرك لما لا نعلم http://du3a.org 
Mon Mar 09 23:12:27 PDT 2015 --  اللَّهُمَّ استر عورتي وآمن روعتي واحفظني من بين يدي ومن خلفي وعن يميني وعن شمالي http://du3a.org 
Mon Mar 09 22:12:58 PDT 2015 --  اللَّهُمَّ اغفر لي خطأي وعمدي وهزلي وجدي ولا تحرمني بركة ما أعطيتني ولا تفتني فيما حرمتني http://du3a.org 
Mon Mar 09 20:14:06 PDT 2015 --  اللهم يا مقلب القلوب ثبت قلبي على دينك http://du3a.org 
Mon Mar 09 19:15:07 PDT 2015 --  اللَّهُمَّ إني أعوذ بك من قلب لا يخشع ودعاء لا يسمع ومن نفس لا تشبع ومن علم لا ينفع أعوذ بك من هؤلاء الأربع http://du3a.org 
Mon Mar 09 17:12:33 PDT 2015 --  اللَّهُمَّ لا تكلني إلى نفسي طرفة عين ، ولا تنزع مني صالح ما أعطيتني http://du3a.org 
Mon Mar 09 16:16:16 PDT 2015 --  اللَّهُمَّ إني ظلمت نفسي ظلمًا كثيرا ولا يغفر الذنوب إلا أنت فاغفر لي مغفرة من عندك وارحمني إنك أنت الغفور الرحيم http://du3a.org 
Mon Mar 09 15:16:08 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت أنت المقدم وأنت المؤخر وأنت على كل شيء قدير http://du3a.org 
Mon Mar 09 14:16:02 PDT 2015 --  اللَّهُمَّ اعطني إيمانا صادقا ويقينا ليس بعده كفر ورحمة أنال بها شرف كرامتك في الدنيا والآخرة http://du3a.org 
Mon Mar 09 13:14:51 PDT 2015 --  اللهم اجعل القرآن العظيم ربيع قلوبنا ونور صدورنا وجلاء همومنا http://du3a.org 
Mon Mar 09 11:13:08 PDT 2015 --  اللَّهُمَّ طهر قلبي من النفاق ، وعملي من الرياء ، ولساني من الكذب ، وعيني من الخيانة http://du3a.org 
Mon Mar 09 10:13:25 PDT 2015 --  اللهم إني أعوذ بك من عذاب جهنم وأعوذ بك من عذاب القبر وأعوذ بك من فتنة الدجال وأعوذ بك من فتنة المحيا والممات http://du3a.org 
Mon Mar 09 09:17:25 PDT 2015 --  اللَّهُمَّ اغفر لي جميع ما مضى من ذنبي واعصمني فيما بقي من عمري وارزقني عملاً زاكيا ترضى به عني http://du3a.org 
Mon Mar 09 06:16:15 PDT 2015 --  اللَّهُمَّ إنا نعوذ بك من أن نشرك بك شيئا نعلمه ونستغفرك لما لا نعلم http://du3a.org 
Mon Mar 09 03:15:23 PDT 2015 --  اللَّهُمَّ استر عورتي وآمن روعتي واحفظني من بين يدي ومن خلفي وعن يميني وعن شمالي http://du3a.org 
Mon Mar 09 02:19:22 PDT 2015 --  اللهم إني أسألك الجنة وما يقرب إليها من قول وعمل http://du3a.org 
Mon Mar 09 00:14:48 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت http://du3a.org 
Sun Mar 08 23:15:02 PDT 2015 --  اللهم إني أعوذ بك من زوال نعمتك ، وتحول عافيتك ، وفجاءة نقمتك ، وجميع سخطك http://du3a.org 
Sun Mar 08 20:13:32 PDT 2015 --  اللَّهُمَّ طهر قلبي من النفاق ، وعملي من الرياء ، ولساني من الكذب ، وعيني من الخيانة http://du3a.org 
Sun Mar 08 19:16:33 PDT 2015 --  اللَّهُمَّ أعني ولا تعن علي وانصرني ولا تنصر علي وامكر لي ولا تمكر علي واهدني http://du3a.org 
Sun Mar 08 18:17:29 PDT 2015 --  اللَّهُمَّ اغفر لي خطأي وعمدي وهزلي وجدي ولا تحرمني بركة ما أعطيتني ولا تفتني فيما حرمتني http://du3a.org 
Sun Mar 08 15:18:38 PDT 2015 --  اللَّهُمَّ عافني في بدني ، اللَّهُمَّ عافني في سمعي ، اللَّهُمَّ عافني في بصري http://du3a.org 
Sun Mar 08 12:56:55 PDT 2015 --  قد تكره حياتك .. ولكن !! ثق بأن غيرك يحلم بأن يعيش مثلها ،، فاحمد الله على كل حال .. #حقيقة pic.twitter.com/ddFmhiQFas
Sun Mar 08 12:18:19 PDT 2015 --  اللَّهُمَّ افتح مسامع قلبي لذكرك وارزقني طاعتك وطاعة رسولك وعملا بكتابك http://du3a.org 
Sun Mar 08 11:18:09 PDT 2015 --  اللَّهُمَّ إني أعوذ بك من يوم السوء ومن ليلة السوء ومن ساعة السوء ومن صاحب السوء ومن جار السوء في دار المقامة http://du3a.org 
Sun Mar 08 10:18:27 PDT 2015 --  اللهم إني أسألك الجنة وما يقرب إليها من قول وعمل http://du3a.org 
Sun Mar 08 09:18:44 PDT 2015 --  اللهم اجعل القرآن العظيم ربيع قلوبنا ونور صدورنا وجلاء همومنا http://du3a.org 
Sun Mar 08 08:18:51 PDT 2015 --  اللَّهُمَّ احفظني بالإسلام قاعدا واحفظني بالإسلام قائما واحفظني بالإسلام راقدا ولا تشمت بي عدواً أو حاسدا http://du3a.org 
Sun Mar 08 07:19:25 PDT 2015 --  اللَّهُمَّ إني ظلمت نفسي ظلمًا كثيرا ولا يغفر الذنوب إلا أنت فاغفر لي مغفرة من عندك وارحمني إنك أنت الغفور الرحيم http://du3a.org 
Sun Mar 08 06:18:00 PDT 2015 --  اللَّهُمَّ طهر قلبي من النفاق ، وعملي من الرياء ، ولساني من الكذب ، وعيني من الخيانة http://du3a.org 
Sun Mar 08 05:18:40 PDT 2015 --  اللَّهُمَّ إنا نسألك عزائم مغفرتك ومنجيات أمرك والسلامة من كل إثم والغنيمة من كل بر والفوز بالجنة والنجاة من النار http://du3a.org 
Sat Mar 07 23:15:39 PST 2015 --  اللَّهُمَّ ارزقني من طاعتك ما تحول بيني وبين معصيتك وارزقني من خشيتك ما تبلغني به رحمتك http://du3a.org 
Sat Mar 07 22:15:53 PST 2015 --  اللَّهُمَّ افتح مسامع قلبي لذكرك وارزقني طاعتك وطاعة رسولك وعملا بكتابك http://du3a.org 
Sat Mar 07 21:12:41 PST 2015 --  اللَّهُمَّ عافني في قُدرتك ، وأدخلني في رحمتك ، واقض أجلي في طاعتك ، واختم لي بخير عمل ، واجعل ثوابه الجنة http://du3a.org 
Sat Mar 07 20:15:57 PST 2015 --  اللهم إني أسألك من الخير كله عاجله وآجله http://du3a.org 
Sat Mar 07 18:16:53 PST 2015 --  اللهم إني أعوذ بك من النار وما قرب إليها من قول وعمل http://du3a.org 
Sat Mar 07 17:17:05 PST 2015 --  اللَّهُمَّ إني أعوذ بك من قلب لا يخشع ودعاء لا يسمع ومن نفس لا تشبع ومن علم لا ينفع أعوذ بك من هؤلاء الأربع http://du3a.org 
Sat Mar 07 13:18:12 PST 2015 --  اللَّهُمَّ لا تكلني إلى نفسي طرفة عين ، ولا تنزع مني صالح ما أعطيتني http://du3a.org 
Sat Mar 07 12:17:47 PST 2015 --  اللَّهُمَّ عافني في قُدرتك ، وأدخلني في رحمتك ، واقض أجلي في طاعتك ، واختم لي بخير عمل ، واجعل ثوابه الجنة http://du3a.org 
Sat Mar 07 11:24:16 PST 2015 --  التفاؤل يمنحك هدوء الاعصاب في أحرج الأوقات
Sat Mar 07 11:17:16 PST 2015 --  اللَّهُمَّ إني ظلمت نفسي ظلمًا كثيرا ولا يغفر الذنوب إلا أنت فاغفر لي مغفرة من عندك وارحمني إنك أنت الغفور الرحيم http://du3a.org 
Sat Mar 07 10:17:59 PST 2015 --  اللَّهُمَّ إنا نسألك عزائم مغفرتك ومنجيات أمرك والسلامة من كل إثم والغنيمة من كل بر والفوز بالجنة والنجاة من النار http://du3a.org 
Sat Mar 07 08:18:03 PST 2015 --  اللَّهُمَّ اغفر لي جميع ما مضى من ذنبي واعصمني فيما بقي من عمري وارزقني عملاً زاكيا ترضى به عني http://du3a.org 
Sat Mar 07 07:17:41 PST 2015 --  اللهم إني أعوذ بك من علم لا ينفع ومن قلب لا يخشع ومن نفس لا تشبع ومن دعوة لا يستجاب لها http://du3a.org 
Sat Mar 07 06:17:35 PST 2015 --  اللَّهُمَّ أَعِنِّي عَلَى ذِكْرِكَ وَشُكْرِكَ وَحُسْنِ عِبَادَتِكَ http://du3a.org 
Sat Mar 07 03:15:41 PST 2015 --  اللهم إني أعوذ بك من الهم والحزن والعجز والكسل والجبن والبخل وأعوذ بك من غلبة الدين وقهر الرجال http://du3a.org 
Sat Mar 07 02:15:16 PST 2015 --  اللهم يا مقلب القلوب ثبت قلبي على دينك http://du3a.org 
Sat Mar 07 01:15:02 PST 2015 --  اللَّهُمَّ عافني في بدني ، اللَّهُمَّ عافني في سمعي ، اللَّهُمَّ عافني في بصري http://du3a.org 
Sat Mar 07 00:15:02 PST 2015 --  اللهم لا تجعل الدنيا اكبر همنا ولا مبلغ علمنا ولا إلى النار مصيرنا وأجعل الجنة هي دارنا وقرارنا http://du3a.org 
Fri Mar 06 23:14:16 PST 2015 --  اللَّهُمَّ افتح مسامع قلبي لذكرك وارزقني طاعتك وطاعة رسولك وعملا بكتابك http://du3a.org 
Fri Mar 06 22:14:40 PST 2015 --  اللَّهُمَّ احفظني بالإسلام قاعدا واحفظني بالإسلام قائما واحفظني بالإسلام راقدا ولا تشمت بي عدواً أو حاسدا http://du3a.org 
Fri Mar 06 21:15:08 PST 2015 --  اللَّهُمَّ طهر قلبي من النفاق ، وعملي من الرياء ، ولساني من الكذب ، وعيني من الخيانة http://du3a.org 
Fri Mar 06 20:15:30 PST 2015 --  اللَّهُمَّ أعني ولا تعن علي وانصرني ولا تنصر علي وامكر لي ولا تمكر علي واهدني http://du3a.org 
Fri Mar 06 19:15:44 PST 2015 --  اللهم إني أعوذ بك من عذاب جهنم وأعوذ بك من عذاب القبر وأعوذ بك من فتنة الدجال وأعوذ بك من فتنة المحيا والممات http://du3a.org 
Fri Mar 06 18:15:19 PST 2015 --  اللهم إني أسألك الجنة وما يقرب إليها من قول وعمل http://du3a.org 
Fri Mar 06 17:17:27 PST 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت أنت المقدم وأنت المؤخر وأنت على كل شيء قدير http://du3a.org 
Fri Mar 06 16:18:36 PST 2015 --  اللَّهُمَّ إني أعوذ بك من يوم السوء ومن ليلة السوء ومن ساعة السوء ومن صاحب السوء ومن جار السوء في دار المقامة http://du3a.org 
Fri Mar 06 15:17:53 PST 2015 --  اللَّهُمَّ ارزقني من طاعتك ما تحول بيني وبين معصيتك وارزقني من خشيتك ما تبلغني به رحمتك http://du3a.org 
Fri Mar 06 13:18:04 PST 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت http://du3a.org 
Fri Mar 06 10:18:02 PST 2015 --  اللهم لا تجعل الدنيا اكبر همنا ولا مبلغ علمنا ولا إلى النار مصيرنا وأجعل الجنة هي دارنا وقرارنا http://du3a.org 
Fri Mar 06 09:17:37 PST 2015 --  اللهم إني أعوذ بك من علم لا ينفع ومن قلب لا يخشع ومن نفس لا تشبع ومن دعوة لا يستجاب لها http://du3a.org 
Fri Mar 06 08:18:35 PST 2015 --  اللَّهُمَّ أَعِنِّي عَلَى ذِكْرِكَ وَشُكْرِكَ وَحُسْنِ عِبَادَتِكَ http://du3a.org 
Fri Mar 06 07:19:06 PST 2015 --  اللَّهُمَّ استر عورتي وآمن روعتي واحفظني من بين يدي ومن خلفي وعن يميني وعن شمالي http://du3a.org 
Fri Mar 06 05:20:44 PST 2015 --  اللَّهُمَّ إنا نسألك عزائم مغفرتك ومنجيات أمرك والسلامة من كل إثم والغنيمة من كل بر والفوز بالجنة والنجاة من النار http://du3a.org 
Fri Mar 06 04:18:43 PST 2015 --  اللَّهُمَّ أعني ولا تعن علي وانصرني ولا تنصر علي وامكر لي ولا تمكر علي واهدني http://du3a.org 
Fri Mar 06 03:22:59 PST 2015 --  اللَّهُمَّ لا تكلني إلى نفسي طرفة عين ، ولا تنزع مني صالح ما أعطيتني http://du3a.org 
Fri Mar 06 00:19:24 PST 2015 --  اللَّهُمَّ طهر قلبي من النفاق ، وعملي من الرياء ، ولساني من الكذب ، وعيني من الخيانة http://du3a.org 
Thu Mar 05 23:17:43 PST 2015 --  اللَّهُمَّ احفظني من بين يدي ومن خلفي وعن يميني وعن شمالي ومن فوقي وأعوذ بعظمتك أن أغتال من تحتي http://du3a.org 
Thu Mar 05 22:17:44 PST 2015 --  اللَّهُمَّ اغفر لي جميع ما مضى من ذنبي واعصمني فيما بقي من عمري وارزقني عملاً زاكيا ترضى به عني http://du3a.org 
Thu Mar 05 21:17:40 PST 2015 --  اللَّهُمَّ اغفر لي خطأي وعمدي وهزلي وجدي ولا تحرمني بركة ما أعطيتني ولا تفتني فيما حرمتني http://du3a.org 
Thu Mar 05 20:17:31 PST 2015 --  اللهم إني أعوذ بك من النار وما قرب إليها من قول وعمل http://du3a.org 
Thu Mar 05 19:18:21 PST 2015 --  اللهم إني أعوذ بك من عذاب جهنم وأعوذ بك من عذاب القبر وأعوذ بك من فتنة الدجال وأعوذ بك من فتنة المحيا والممات http://du3a.org 
Thu Mar 05 18:19:23 PST 2015 --  اللَّهُمَّ اقْسِمْ لَنَا مِنْ خَشْيَتِكَ مَا يَحُولُ بَيْنَنَا وَبَيْنَ مَعَاصِيك http://du3a.org 
Thu Mar 05 16:20:59 PST 2015 --  اللَّهُمَّ استر عورتي وآمن روعتي واحفظني من بين يدي ومن خلفي وعن يميني وعن شمالي http://du3a.org 
