Sat Aug 29 03:33:52 PDT 2015 --  at least it's light out, thank god
Tue Feb 10 19:13:16 PST 2015 --  Turns out the grownups you once blindly trusted shouldn't have been blindly trusted at all.
Tue Feb 10 19:20:10 PST 2015 --  Adolescence is a confusing time to discover my own identity. Good thing the Infallible System will determine my identity for me.
Tue Feb 10 19:53:31 PST 2015 --  Maybe the all-powerful Totalitarian government doesn't know best after all. And maybe I can fight it.
Tue Feb 10 19:56:51 PST 2015 --  I'm plain looking and shy. There's no way two guys would be fighting for my love right? This world is more confusing than it first appeared.
Tue Feb 10 21:07:37 PST 2015 --  I'm so clumsy. I accidentally spilled the Nutrition we had for dinner all over my grey tunic.
Wed Feb 11 04:54:21 PST 2015 --  It's the night before my 17th birthday, which means in a few hours, I'll have to face the mysterious Test to determine my future.
Wed Nov 19 13:44:17 PST 2014 --  hey sorry im late i didnt want to come
Mon Jan 26 14:05:40 PST 2015 --  how about you mind your own bisness mister Attenborough.
Thu Feb 05 15:47:22 PST 2015 --  try new bird supplement herbal medical pills I can guarantee your birdness will be enhance maybe you even fly no promises don't sue
Tue Feb 10 05:20:31 PST 2015 --  got a solid 3.5h sleep, can't wait to take a nap in the engineering library between classes
Tue Jan 06 16:01:14 PST 2015 --  Nothing like an episode of Intervention to make me want a little afternoon glass of wine. #AndToTryCrack
Mon Feb 09 19:22:29 PST 2015 --  you think someone's alright and then they use the hand drier
Mon Feb 09 12:07:45 PST 2015 --  it's not stealing if you got it from the dining hall
Mon Jan 26 02:30:04 PST 2015 --  The purpose of religion is not building grand temples but cultivating positive human qualities like tolerance, generosity and love.
Fri Jan 30 02:30:59 PST 2015 --  Being aware of a single shortcoming within yourself is far more useful than being aware of a thousand in someone else.
Fri Feb 06 04:31:01 PST 2015 --  Start off your morning with more positivity then negativity and you'll live your days a lot better
Thu Feb 05 09:05:06 PST 2015 --  Anyone who suggests meeting for breakfast has no concept of how hard it is for me to wake up
Thu Feb 05 09:21:22 PST 2015 --  Oh jeez. My professor is talking about this kid who had to touch everything equally and he was hospitalized and I DO THAT OH DAMN.
Fri Feb 06 02:30:08 PST 2015 --  Tolerance is always important, it helps us overcome difficulties. Without it, small things irritate us and we overreact.
Mon Mar 31 12:00:05 PDT 2014 --  "Pain is just weakness leaving the body" - an incompetent doctor
Fri Apr 18 20:09:47 PDT 2014 --  When I'm on a date at a fancy restaurant, I bring my own crumb-sweeper and use it to romantically herd my mess into the shape of a heart.
Wed Oct 01 18:47:29 PDT 2014 --  i want a reality show that's just footage of the losers' car ride home after family feud
Wed Dec 03 10:32:20 PST 2014 --  You don't realize the variety of shapes the human body comes in until you watch The Price is Right
Sat Dec 20 16:52:29 PST 2014 --  I'll never be as happy as the group of people squawking with laughter sitting behind me at every restaurant I've ever been to
Sun Jan 11 16:23:08 PST 2015 --  Between Sunday playoff football and the Golden Globes, today is like a perfect storm of stuff I don't care about.
Wed Jun 12 18:25:57 PDT 2013 --  The more often I find myself saying the phrase "in real life," the more I realize I don't have one.
Sat Jun 15 10:42:35 PDT 2013 --  I wonder what sort of mental illness makes someone feel comfortable biting directly into a stick of string cheese
Tue Jun 25 02:29:43 PDT 2013 --  What we do need to do is to find ways to incorporate advice about warm-heartedness into our education system.
