Sat Aug 29 01:14:28 PDT 2015 --  
Fri Aug 28 08:54:18 PDT 2015 --  K, I'm tired of my short hair now. Grow hair, grow!!
Tue Oct 14 19:12:10 PDT 2014 --  "That's the kinda dude I was looking for and yes you'll get slapped if you're looking hoe" ...
Tue Oct 14 18:40:23 PDT 2014 --  I've been back home for 3 nights already and I still don't feel like unpacking
Tue Oct 14 14:22:01 PDT 2014 --  JUST IN: Dallas hospital: Nina Pham, nurse with Ebola, is in good condition - @ABCNewsHealth pic.twitter.com/doNhWYcCt8
Sun Oct 12 21:15:17 PDT 2014 --  The 18 Most Exhilarating Moments From “The Walking Dead” Season 5 Premiere http://bzfd.it/1ENiVCq 
Sun Oct 12 19:52:07 PDT 2014 --  !!!!!!! #TheWalkingDeadSeasonPremiere
Sat Oct 11 08:58:47 PDT 2014 --  Last night was one of the best nights I've had in such a long time!!! #6thstreet http://instagram.com/p/uBKHU2pUI3/ 
Thu Oct 09 20:33:00 PDT 2014 --  When I grow up I wanna be like Michonne. She's a freaking badass! #TheWalkingDeadMarathon
Tue Oct 07 19:14:50 PDT 2014 --  Hadn't really thought about it but since @isalazar06 reminded me. We're going to be in New York in a month. A MONTH!!!!
Sat Oct 04 13:20:45 PDT 2014 --  20 Things No One Tells You About Post-College Working Life: http://elitedai.ly/YMTCiP 
Fri Oct 03 21:37:58 PDT 2014 --  No matter how hard things get, or how bad times may seem, I know we'll always pull through together!… http://instagram.com/p/tt6oy2JUPR/ 
Thu Oct 02 18:46:53 PDT 2014 --  "A broken heart is a broken heart, to take a measure is cruelty.."
Thu Oct 02 13:48:11 PDT 2014 --  I hate it when I finish an amazing book & I have to go right back to reality. Excuse me while I go lay on the floor for a few hours...
Thu Oct 02 11:34:10 PDT 2014 --  If I could eat Panera Bread everyday I would!
Wed Oct 01 12:53:21 PDT 2014 --  SCREW YOU LOVE STORIES. ESCREW YOU!!
Tue Sep 30 19:18:10 PDT 2014 --  Happy 2nd Birthday Gael!! #happybirthday #terribletwos #nephew #thatfacethough #cutiepie http://instagram.com/p/tl8QMjpUCT/ 
Tue Sep 30 16:00:46 PDT 2014 --  "Education is my freedom, without it I am weak." #DreamSchool
Tue Sep 30 15:42:27 PDT 2014 --  " @BestofCapricorn: Being in love with a #Capricorn will be the most complicated thing of your life." Lol true.
Tue Sep 30 15:35:33 PDT 2014 --  WATCH LIVE: Texas Health Presbyterian press conference on Dallas Ebola patient http://bit.ly/1DUWhI6  pic.twitter.com/fNxMXyNOTt
Mon Sep 29 16:26:58 PDT 2014 --  #theothernight #latepost #selfiesfordays http://instagram.com/p/tjD3cSJUNA/ 
Sun Sep 28 21:47:16 PDT 2014 --  pic.twitter.com/HqJtWMN095
Sun Sep 28 11:38:47 PDT 2014 --  Never understood people's inability to be comfortable in silence. I promise you, the world doesn't explode if you just be quiet.
Fri Sep 26 21:47:40 PDT 2014 --  Hocus Pocus is on!!!!!
Fri Sep 26 21:24:59 PDT 2014 --  FUCK this Annabel trailer. It's such an asshole! Poppin up out of nowhere!
Thu Sep 25 19:58:26 PDT 2014 --  "We both grown so how we feel we can let it show."
Thu Sep 25 18:17:45 PDT 2014 --  I'm so tired I was going to go to bed at 8 tonight but.... SCANDAL!
Thu Sep 25 08:49:57 PDT 2014 --  Flight Hotel Now all we need to do is go shopping! November can't get here fast enough! #NYC
Tue Sep 23 14:28:19 PDT 2014 --  Being emotionally exhausted is 10x worse than being physically exhausted.
Tue Sep 23 13:45:01 PDT 2014 --  14 supposedly healthy foods that dietitians never eat: http://cosm.ag/6015oxYf  pic.twitter.com/iRspQguBdT
Sun Sep 21 18:53:17 PDT 2014 --  They don't know what I've been through, don't know what I'm going through, as long as I get through it, that's what I look forward to...
Sun Sep 21 10:00:18 PDT 2014 --  How Sunday got its name... pic.twitter.com/axRdpsK60x
Thu Sep 18 14:16:40 PDT 2014 --  Driving ALL the way to Ft. Worth to see your lil bro perform because it's real lol. #familia
Wed Sep 17 12:54:35 PDT 2014 --  I just wanna lay down and the a nap please! #drained
Tue Sep 16 19:54:35 PDT 2014 --  My chanchito is the killer of dreams! Always gotta burst my bubble... What a jerk I love him to death though
Tue Sep 16 16:59:39 PDT 2014 --  I can't believe I'm actually hating on my brother because he has school work and I don't anymore. Sad life :( lol.
Tue Sep 16 13:36:06 PDT 2014 --  " @RickAndThangs: 26 DAYS!!!!!! #TheWalkingDead pic.twitter.com/PS86xA6LZF"
Tue Sep 16 08:43:26 PDT 2014 --  Im so happy, proud & blessed to be able to be a part of 2 very different cultures! Feliz Independencia Mexico! #VivaMexico #MexicoLindo
Tue Sep 16 08:39:54 PDT 2014 --  I'm in such a good mood today! :D
Mon Sep 15 20:34:39 PDT 2014 --  #WhatLatinoMeansToMe: This Is How Latinos In America Actually Identify http://bzfd.it/1uE79Vu 
Mon Sep 15 20:25:26 PDT 2014 --  13 Of The Best Places In The U.S. To Star Gaze http://bzfd.it/1wiWfrc 
Mon Sep 15 17:21:19 PDT 2014 --  pic.twitter.com/xK163SEPeq
Mon Sep 15 16:01:06 PDT 2014 --  http://youtu.be/nxvm4P0jFKY  #NoLoveRemixVideoOnVevo #NoLoveRemixVideo
Sun Sep 14 13:11:50 PDT 2014 --  Same shit, different day.
Fri Sep 12 08:50:23 PDT 2014 --  So many ppl I know are bringing new babies into the world! I'm starting to get baby fever!
Thu Sep 11 14:51:23 PDT 2014 --  No off days til next Sunday . But I'm already tired . My paycheck better be worth it!
Thu Sep 11 12:51:20 PDT 2014 --  Leave something for him to wonder about instead of giving him something he and his friends can talk about.
Wed Sep 10 12:06:58 PDT 2014 --  "My man makes me feel so goddamn fine!"
Mon Sep 08 05:43:22 PDT 2014 --  Can waking up and facing my responsibilities be optional today? Pretty please!
Sun Sep 07 23:40:18 PDT 2014 --  He knows, he knows, he knows... Drake always makes me feel some type of way! Had a great time at… http://instagram.com/p/srL-BmpUHg/ 
Sat Sep 06 09:42:50 PDT 2014 --  Most things are never what they seem... Everything, everyone has a back story.
Fri Sep 05 20:56:34 PDT 2014 --  I have an unhealthy attachment to the shows/movies recorded on my DVR
Fri Sep 05 16:08:34 PDT 2014 --  Como me encanta hacer a mi ma renegar lol
Fri Sep 05 13:45:38 PDT 2014 --  I love meeting ppl that I can easily have conversations with. No awkwardness, no searching for topics. I could talk to you all day :)
Thu Sep 04 17:48:36 PDT 2014 --  My feet NEED these shoes!!! SK8-Hi MTE | http://shar.es/11dcLJ 
Thu Sep 04 07:24:34 PDT 2014 --  In Washington D.C. right now and I'm JUST PRAYING I spot Olivia Pope.... Or Fitz..... Or Jake.....!!!
Wed Sep 03 20:20:07 PDT 2014 --  “The Little Rascals” recreated their movie poster 20 years later http://bzfd.it/1r28HnQ  pic.twitter.com/XIpD8HVCIx
Wed Sep 03 17:55:02 PDT 2014 --  You know you've been mentioning a person a shit ton when your phone suggests their name while typing lol.
Tue Sep 02 18:54:10 PDT 2014 --  It's not even 9pm and I'm all ready for bed
Tue Sep 02 11:54:55 PDT 2014 --  When I get right, I promise we gone live it up..
Mon Sep 01 12:43:54 PDT 2014 --  I had a creepy co-worker sniff me today, I feel like running home and taking a shower...
Sun Aug 31 23:22:56 PDT 2014 --  my body consists of 50% mexican food, 30% frozen yogurt and the rest is a mixture of water & regret
Sun Aug 31 23:29:30 PDT 2014 --  Why are you looking for love. Why are you still searching as if I'm not enough. To where will you go, child. To where will you run?
Sun Aug 31 23:24:33 PDT 2014 --  " @TedOfficialPage: ugh. yeah. pic.twitter.com/rgJO40VFO7" true.
Sun Aug 31 23:00:07 PDT 2014 --  Here are all the movies you'll want to see this fall http://huff.to/1tCVwyz  pic.twitter.com/nrbar34KKq
Sun Aug 31 22:12:27 PDT 2014 --  Why can't my brother get his shit together. It really breaks my heart.
Sun Aug 31 17:56:01 PDT 2014 --  #SundayFunday with my Chanchito! #LetsBeCops #cinemark #movietime! #thatswhatyouget! http://instagram.com/p/sYjAV4JUAy/ 
Sun Aug 31 12:12:31 PDT 2014 --  You Have To Make These Dancing Baby Groot Cupcakes http://www.buzzfeed.com/rachelzarrell/i-am-groot-cupcakes?bftw=main#3tf5rgs … pic.twitter.com/TqVEmh5eio
Sun Aug 31 09:53:57 PDT 2014 --  Don't fuck with my love Ed Sheeran - Don't [Official Video]: http://youtu.be/iD2rhdFRehU 
Sat Aug 30 17:32:19 PDT 2014 --  October is coming... #TheWalkingDead pic.twitter.com/iZIzaEudc7
Sat Aug 30 14:15:18 PDT 2014 --  I'd pick Tom Hardy over Chris Pine any day! #ThisMeansWar
Fri Aug 29 18:36:03 PDT 2014 --  I could really go for some froyo right now..
Fri Aug 29 17:15:27 PDT 2014 --  I like my men like I like my tea - hot and British.
Fri Aug 29 17:14:37 PDT 2014 --  Being sick is srsly the worst! I hate it. I HATE IT!
Wed Aug 27 18:36:03 PDT 2014 --  Because getting sick is exactly what I need right now -___-
Tue Aug 26 21:14:25 PDT 2014 --  http://www.huffingtonpost.com/2014/08/20/reasons-to-start-running_n_5689237.html …
Tue Aug 26 19:43:56 PDT 2014 --  I'M SO EXCITED! New York City here we come! #NYC! #vacation http://instagram.com/p/sL3YPkJUBp/ 
Tue Aug 26 15:55:06 PDT 2014 --  Idk who told him, but anything cheese, esp CHEESECAKE is the way to my heart. lololololol. It's the little things
Sun Aug 24 23:19:57 PDT 2014 --  I'm honestly too excited to sleep because I want it to be Tuesday so @isalazar06 and I can buy our plane tickets to NYC!!!!
Sun Aug 24 23:17:16 PDT 2014 --  As much as he annoys me, I'm glad my bro and I can always talk things out and get through our problems.
Sun Aug 24 13:10:03 PDT 2014 --  I challenge everyone to be HAPPY....something so easy but yet so hard....I want everyone to simply have a HAPPY blessed Sunday!
Sat Aug 23 21:42:21 PDT 2014 --  Antonio Banderas was the best part of The Expendables III!
Sat Aug 23 13:15:26 PDT 2014 --  I woke up this morning missing Mexico so much. As a result of this, I have been blasting rancheras on Pandora.
Sat Aug 23 09:47:26 PDT 2014 --  You're the worst is the best!
Sat Aug 23 08:54:31 PDT 2014 --  Is it possible for legs to just fall off because I feel like mine could possibly just detach from my body
Sat Aug 23 08:51:32 PDT 2014 --  Pumpkin CHEESECAKE. PUMPKIN! #pumpkineverything
Fri Aug 22 23:00:25 PDT 2014 --  When Pluto wasn't just a dog, but a planet #90slife
Fri Aug 22 12:54:50 PDT 2014 --  This is everything! LOL Barely Legal Pawn, feat. Bryan Cranston, Aaron Pa…: http://youtu.be/ovqM72em1dA 
Fri Aug 22 06:19:53 PDT 2014 --  " @BuzzFeed: 11 Reasons You Should Get Super Pumped For Autumn http://bzfd.it/1kYpA6e  pic.twitter.com/Nzdx6FY32o" My fav season!
Fri Aug 22 06:12:01 PDT 2014 --  Just tried water polo but my horse drowned?
Thu Aug 21 21:51:05 PDT 2014 --  Make me the bad guy because after being at work all day I don't wanna get home at 1130pm and still run an errand for you
Thu Aug 21 15:12:09 PDT 2014 --  I used to be so good about remembering everything! And now I'm SO bad about it, even putting it in my calendar or reminders doesn't help
Thu Aug 21 13:25:39 PDT 2014 --  "That is the fear: I have lost something important, and I cannot find it, and I need it."
Wed Aug 20 20:59:45 PDT 2014 --  
Wed Aug 20 12:21:35 PDT 2014 --  I love my fans so so so so much. Thank you for being so real and so supportive x
Wed Aug 20 12:30:52 PDT 2014 --  " @HuffingtonPost: Homeless vets volunteer to build homes for other homeless vets http://huff.to/1BD5qDX " God bless them!
Tue Aug 19 20:31:16 PDT 2014 --  Communication is key with #Capricorn's because they like to go deeeeep.
Tue Aug 19 20:12:26 PDT 2014 --  I love that my brother and I txt each other instead of literally walking 10ft to talk lol
Tue Aug 19 19:54:29 PDT 2014 --  I wish I could say I have the motivatIon and will power to go to the gym after being at work for 11hrs.... butidont
Mon Aug 18 20:40:32 PDT 2014 --  Also, my ass is sweating in this leather seat!
Mon Aug 18 20:39:17 PDT 2014 --  I asked for a bottle of air from the beach let's see what he brought me... #DFWAirport
Mon Aug 18 15:20:05 PDT 2014 --  I woke up in such wonderful mood today! Such a great day :) Also, Ed Sheeran's music might have A LOT to do with why I'm in such a good mood
Sun Aug 17 17:01:06 PDT 2014 --  If you can't say "I love you" and commit. Don't say it at all. Love requires commitment, faithfulness and endurance.
Sun Aug 17 17:02:15 PDT 2014 --  Any time I hear @Eminem on my radio or iPod I get super excited about seeing him live in Oct! #rapgod #thefeelsarereal
Sat Aug 16 21:21:37 PDT 2014 --  So happy to be reunited in Nac with this girl! #girltime http://instagram.com/p/rySnBipUIX/ 
Sat Aug 16 17:05:07 PDT 2014 --  Accept the challenges in life with a smile on your face, so that you may feel the exhilaration of victory.
Sat Aug 16 10:46:19 PDT 2014 --  The best conversations start with "I saw this thing on Pinterest..." @itspauy
Sat Aug 16 05:08:13 PDT 2014 --  Sun roof open, music on blast and Dallas in my rear view mirror!
Fri Aug 15 18:54:00 PDT 2014 --  I swear this is why I never wanna leave my house. YOU HAVE ONE JOB! ONE! Super fucking annoyed!
Fri Aug 15 15:27:08 PDT 2014 --  I still can't believe he's gone. This Is The Most Perfect Robin Williams Tribute Yet http://bzfd.it/1qbhbso 
Fri Aug 15 14:44:23 PDT 2014 --  Today I was reminded y I will never (again) date a co-worker. Sometimes shit gets real & I'll be damned if I have to see u at work all day.
Thu Aug 14 22:54:59 PDT 2014 --  I honestly hate watching the news at times because it disgust me....we live in a crazy world people....I hate violence....
Thu Aug 14 22:57:28 PDT 2014 --  I'm honestly saddened by everything that is going on in the world. I hope and pray that we as people can eventually do better #LiveLoveLaugh
Thu Aug 14 19:03:16 PDT 2014 --  My brother just left to San Diego without me! safe travels my brother!
Thu Aug 14 06:00:49 PDT 2014 --  Current relationship status pic.twitter.com/9a92DMXX90
Wed Aug 13 21:53:05 PDT 2014 --  I really wish someone would give me a foot massage right about now!
Wed Aug 13 21:50:04 PDT 2014 --  If you aren't interested in her unless she's naked, she ain't the one.
