Mon Jul 13 15:09:20 PDT 2015 --  الله اكبر!! نبشركم باسلام بريطانية عبر حملة #مكة_لايف قبل قليل عبر مركزكم .. شكراً لتفاعلكم ..
Mon Oct 08 04:32:13 PDT 2012 --  + اللهم اِنــّا نسألگ الجنــہ $ وَ ما قرب إليها من قول اَو عمل ♡♡*
Mon Oct 08 03:10:03 PDT 2012 --  - أي بنت طوپلہ ‹;;)› ! لآزم تجيكك ڳشخہ ة ۆ ﺣﺑوبه ۆ ډاايم ۆناسہ ة ۆ ﻣزحہا ﻋسل ﯾآخي ذولآ آلطوآل م تقدرون تعيشون ﺑدونهم ‹ آنٱٱ ﺑﻟﺂ شك :$ ̃
Mon Oct 08 02:08:21 PDT 2012 --  حقيقه: اي بنت قصيرهـ معوضهـا ربي بطول لسسانها.!! "
Fri Oct 05 00:32:32 PDT 2012 --  هـذآ هـو أفــْــضــل عـلآج فــي الـعــالم pic.twitter.com/z8xQtoY7"
Fri Oct 05 02:25:39 PDT 2012 --  أفشل الرجال ذاك الذي يقسو على أخته وأمه ويتلطف مع بنات الناس !
Fri Oct 05 14:47:56 PDT 2012 --  «اليد التي تنهضك عند تعثرك، أصدق من ألف يد تصافحك عن الوصول!»
Fri Oct 05 12:43:20 PDT 2012 --  دائمـآ قل [ الحمدلله ] ف غيـرك يتمنـى نصـف مآ تملـك .. #q8 #kuwait
Fri Oct 05 09:30:07 PDT 2012 --  مين متذكر شو هذا ؟؟؟ يعمل ريتويت pic.twitter.com/L9aq1sAv
Fri Oct 05 13:09:21 PDT 2012 --  كُن دائمًا نسخة أولى من نفسك بدلاً من أن تكون نسخة ثانية من شخصٍ آخر ‎‏
Fri Oct 05 13:06:40 PDT 2012 --  ( سبحان الله وبحمده , سبحان الله العظيم ) لن أذگرگم بأجرھا ولكن سأذگرگم بأن الرحمن يحبها =))
Fri Oct 05 09:27:40 PDT 2012 --  رئيس الهلال في بيان: الآسيوية أصبحت أكثر صعوبة.. وسأستمر في كرسي الرئاسة http://sabq.org/yIofde 
Fri Oct 05 09:10:11 PDT 2012 --  انتقل الى رحمة الله المذيع الشهير / سليمان العيسى في مستشفى التخصصي بالرياض قبل قليل. إنا لله وإنا إليه راجعون. pic.twitter.com/wmFSchN4
Fri Oct 05 01:50:13 PDT 2012 --  اليوم ( جمعه ) ، وأفضل أيام الأسبوع في كل .. ساعه دعوةٍ مستجابه محتاج ، ضايق ، ناقصك شي ، موجوع إرفع يدك ساعه وتلقى الإجابه
Fri Oct 05 06:40:18 PDT 2012 --  ثـِقـوآ تمـآمـآ آنِ السمآء كبيُره جدآ تتسُعِ لكُلِ رسآئلكُم .. المتلهفة لـلـآجـآبة فقطِ آكـثروِآ مُنِ قَـولِ : آللهُم ..
Fri Oct 05 06:37:39 PDT 2012 --  ↓ ٱصععبُ ٱنۆٱع ٱلمقٱۆمھہ ! - مقٱۆمةة نفسگ عندمٱ يريد قلبگ شيئٱ : ۆ ☇ عقلگ يمٌَنعھ "
Fri Oct 05 06:36:58 PDT 2012 --  كبيـًر .. لكنـيّ أبـدً مآ تكَـبرتَ كآبـّرت ..لو قلبـيً تكـآثر طعوُنه أحيآنً احسً آنـيّ منّ آلطيشَ كثرت ! لآشفتً عقلـيً يستـريحُ لـ جنونـُه
Fri Oct 05 06:35:03 PDT 2012 --  آفعلوآ مآ شئتم فَ ( أنَـآ ) لمّ أعُد ٱھتمَ آلا بمَمَن يَھتمَ بيَ
Fri Oct 05 06:34:23 PDT 2012 --  بعضُ الأشخَاص صدفَات : جمِيلۃ لَا نتوقعُہَا ، وَ لكننّا نُدمِنُهَا فجَـــأاة
Fri Oct 05 02:43:54 PDT 2012 --  @___itti__news__ نادي الشعب يعتمد على شعبه بادر بدعمه رقم حساب النادي في البنك الاهلي 11716199000110 #rt
Thu Oct 04 14:54:20 PDT 2012 --  فرحة الميت في قبره لا تُصدّق .. عندما يصله دعاء من أهل الدنيا .. اللهم أرحم جميع المسلمين و المسلمات و المؤمنين و المؤمنات
Thu Oct 04 12:31:40 PDT 2012 --  قمة الخرفنهوحدة تقول لحبيبها بنام يقولها نامي وخليني عالخط وتخليه وتطلع الغرفه الثانيه تكلم الثاني والذيب عالخط بروحه يقول :فديت النايمين
Tue Oct 02 02:54:24 PDT 2012 --  كل قوي فوقه اقوى منه... pic.twitter.com/lRonY92L
Thu Oct 04 14:51:29 PDT 2012 --  ⌟ كي تنجح في آلحيآھہ ../' فَ آنت تحتآج إلى آمرين : آلتجآهل ۈآلثقھہ ه ..﹗
Thu Oct 04 14:21:39 PDT 2012 --  رغم ظهرو الفيسبوك وتويتر والبلاك بيري والواتس أب لازال هناك ناس يكتبون على الجدران =))
Thu Oct 04 14:49:48 PDT 2012 --  كَ الهواء أنا أعيش بكِ كَ القهوة أعدّل مزاجي معكِ وكَ رواية مليئه بَ الحُب أكتبكِ
Thu Oct 04 14:48:39 PDT 2012 --  هل تعرف ما هو صفاء القلب ،، هو أن ترى جروحك و قد نسيت من الفاعل ... ♡
Wed Oct 03 10:07:42 PDT 2012 --  @Talhabeeb مطلوب متبرع بكلية لطفلة عمرها 11 سنة فصيلة دمها O+ ان يكون المتبرع بعمر 20-45 سنة للاستفسار : 00966559929115
Mon Oct 01 16:21:44 PDT 2012 --  ٱغبىَ ٱڵڼسٱء منْ ٺجمّڵٺ بوُجہھٱ وَ ٺقّبحٺ بفعِڵہٱ ♡
Mon Oct 01 06:32:32 PDT 2012 --  شيلو لنا الإشاره الصفره ترى مو معبرينها الأوادم ، خساير لمبه عالفاضي!=))” @a7la_nikta
Mon Oct 01 12:58:46 PDT 2012 --  يمارسون ٱﻟكذب .. ﺣﺗى لٱ يكسروا لنا خاطر ، وهل ٱصبح ٱﻟكذب جبراً ﻟ /' ٱﻟخواطر .. ♡̷!
Mon Oct 01 12:57:02 PDT 2012 --  احيانا بعض الصداقات البعد عنها مؤلم ولكنه مريح
Wed Sep 19 12:10:41 PDT 2012 --  - مفروض في كل مباراة مُزز يكحلون فيهم اللاعبين عشان يتحمسون ويفوزون - خصيصاً : الأندية السعودية وبالأخص ( نادي النصر ) !
Mon Oct 01 11:55:30 PDT 2012 --  لقاء الاتحاد في الـ 3 م عبدالله الحربي ع الكاس علي الكعبي ع الجزيره عبداله الغامدي ع الخشبيه ابو ظبي لم يتضح pic.twitter.com/hWbPhN0h
Mon Oct 01 08:50:37 PDT 2012 --  ‏​ﺎلبعض : من ﺎلناس 'يجبرک على فعل ﺎلخيرلہ و ﺎلسبب ﺎخلاقہ
Mon Oct 01 04:58:49 PDT 2012 --  آفعل ما في قدرتي .. سأعطيك ما لآ يرهقني ، لن آمدحك فوق ما ٺستحق و لن آنتظرك ل تحآدثني ! ♡
Mon Oct 01 04:53:29 PDT 2012 --  آبتسامھہ ةةَ علۍ اطراف شفاهيَ ، آعلنٺ عن مساء ! آنيق بدأ بك انت , ♡ '
Mon Oct 01 04:45:39 PDT 2012 --  طريقة عمل أصابع السمك المقلي لمنال العالم #اكلات #مطبخى #ماما_حواء #طبخات #سمك #منال_العالم http://goo.gl/DFtvm 
Mon Oct 01 04:44:36 PDT 2012 --  الحبُّ يا عَزيزيْ هوَ أن لا تتغيّر المشَاعِر ؛ أبداً !
Mon Oct 01 04:42:50 PDT 2012 --  ​آكره تلكَ الفئة من آلنآسَ ! آذا و جدوواَ (-البديل -)" تغيرو كثيراً .. ♡ '
Mon Oct 01 04:41:40 PDT 2012 --  • ٱڵصّدٱقـه ٱڵمُزيّفـه كَٱڵطيـرْ ٱڵمُھٱجِـرْ .. يَرّحَـڵ إذٱ سـٱءَ ٱڵجـۆ - ✥ ♡ '
Mon Oct 01 04:40:53 PDT 2012 --  يُسبّح لهُ الطيرُ والشجَر و يعجز عن تسبيحھ ڱثير مِن البشَر - سُبحَان اللّه ♡
Mon Oct 01 04:01:08 PDT 2012 --  كل شيء له عوض إلا ( الوالدين ) .. ربي إرحمهما كما ربياني صغيرا !
Mon Oct 01 03:55:13 PDT 2012 --  المناهج الجديدة عيالنا بيطلعون يكاكون راحت مناهج الطيبييييييين الله يستر لا يرقدون على البيض الجيل الجديد pic.twitter.com/YvvlhhOV
Sun Sep 30 04:06:52 PDT 2012 --  «عيوب الجسم قد يسترها متر قماش، وعيوب الفكر يكشفها أول نقاش!»
Fri Sep 28 11:56:49 PDT 2012 --  / يَ خخِيَ تِـڪَلِم لاّ جِرحَتـِڪَ .. لاّتششِيلهَاّ بقلِبـڪَ ۈ أنـِاّ مَ أقصصِد أجِرَححِـڪَ !!
Fri Sep 28 06:35:37 PDT 2012 --  مَا اعجبك طبعي !! سَمّ بـ الرحمن و انسااني !!
Fri Sep 28 03:51:23 PDT 2012 --  هل تعلم : آن 75 % من آلسآعآت اللي يلبسونهآ الحريم في الأعراس مخلصه بطآرياتها أو خربانه.!! LOOOL
Fri Sep 28 07:02:43 PDT 2012 --  يجب أن تعرف أني مازلت أثق بك، حتى لو كان العالم كله ضدك قلبي لن يتغير؛ حتى لو حدث كل شي بشكلٍ خاطئ حتى لو كان صعبًا عليك محاولة إيقاف ذلك
Fri Sep 28 03:55:02 PDT 2012 --  من نعم الحياة : تكون انت و أخوك نفس المقاس =))
Fri Sep 28 06:44:55 PDT 2012 --  ⁰⁰⁰⁰ - ربآه اانعش قبور أولئكك الذين سبقونآ إلى رحممتك ♡̷♡̷' ⁰⁰
Fri Sep 28 06:39:59 PDT 2012 --  إن كآنت قصور الدنيآ تسحر العيون ف كيف بمآ لآعين رأت ولآأذن سمعت ولآخطر على قلب بشر
Fri Sep 28 06:36:49 PDT 2012 --  - آلصدآقهه شي شريففَ جددآ فقطط يحتآجج آلى نآس يعرفونَ معنى آلوفآء ..
Fri Sep 28 06:30:24 PDT 2012 --  . . ⌗ ˛. ͢ فِي هَذه السآعه أسآل الله أن يَرضى عَني وعَنكم فَليس بَعد رضى الله إلآ الجَنه , ♡
Fri Sep 28 06:29:18 PDT 2012 --  ˛. ͢ مُجتمعنا لم يتأقلم مع فكرة الأدب والكتابة ؛ فكلّ من يكتب يظنّونه في علاقة ! *
Fri Sep 28 06:23:33 PDT 2012 --  تواصلت للتو مع الأخ خالد الشهري أبو تالا و أبشر الجميع أنه و أسرته بخير و لم يزدهم مصابهم إلا إيمانا و تسليما
Thu Sep 27 04:43:15 PDT 2012 --  # * آلدخان لا يصنع آلرجل ، وآحمر آلشفاه لا يصنع الأنثى ، كل رجل يعلم كيف يصنع رجولته بموآقفه .. وكل أنثى تعلم بحشمتها كيف تصنع آنوثتها ! ♡
Wed Sep 26 20:07:51 PDT 2012 --  أبكاها زوجها فنظرت اليه يلاعـب ابنته وقالت : ترضى يبكيها رجل ! فقال:أقتله هذي ابنتي ! قالت والدموع في عينها:أنا أيضا لي أب يحبني ! #مؤلمه..
Tue Sep 25 10:01:59 PDT 2012 --  =̵ ˹ ✾ ˼ ゙ོ إسقاط سمعہ الآخرين لا يرفعک سقفاً أبداً ، وإن كان تشويہ السمعہ '( .. لدى البعض فن و موهبہ فإن ربي يمھل ولاا يھمل ♡♡'
Tue Sep 25 10:00:16 PDT 2012 --  ​​​​​⁰ ❛❁ ૂ ˛⁰ من أبگٱگ لأيّ سَبَب گٱن ، لٱ يَستَحقُ وَجودگ فِي حَيآتہ ، فِ الذِي أبگاگ مَرھ قَد يُبگيگ العُمرَ گلہ
Tue Sep 25 09:57:31 PDT 2012 --  حيڼ ٺړآڼي أٺجآهَڵ أغڵب گڵآمڰ فَ أعڵمّ أنَڼي أٺأڵم مڼڰ¨
Tue Sep 25 09:56:23 PDT 2012 --  الرجل الذي يعامل المرأة كَ ملكة ، دليل على أنه تربى على يد ملكة أخرى *
Tue Sep 25 06:13:54 PDT 2012 --  [ مكة المكرمة ] لا بحر ، لا مطر ، لا طبيعة لكنها تقتلنا شوقاً كلما ذكرناها
Sun Sep 23 16:36:53 PDT 2012 --  “ @Najodi_7: RT @E9323: : هذي فتاة فيها حروق من الدرجة الثالثة هل سنرى لها ريتويت كقضية ابن الحبيب pic.twitter.com/cJBszJZD #ابن_طارق_الحبيب”
Mon Sep 24 16:27:56 PDT 2012 --  “ @abeer1217: ​تهكير موقع حآفز بمنآسبةة اليوم الوطني http://t.co/KsilLK2C ^ ادخلو و شوفو وش كاتب ^ ”
Mon Sep 24 18:02:58 PDT 2012 --  إن بين الرجل وبين الشرك والكفر ترك الصلاة pic.twitter.com/1MOl19pX
Mon Sep 24 05:38:17 PDT 2012 --  أنا لي قلب مآ يحقد ولآ يحسد ولآ يغتآب ، لأن النآس من تخطي لهآ رب يجآزيهآ !
Sat Sep 15 05:54:50 PDT 2012 --  أصعب مافي تويتر أنه عند موتك سيقوم المغردين بتصفح تغريداتك ومفضلتك ثم ستجبرهم إما يترحموا عليك أو يشفقوا عليك .. #انتقوا الكلمات بدقة!
Mon Sep 24 05:37:02 PDT 2012 --  احب امي ، و صوت امي ، و دعاء امي يارب كما جعلت اﻟجنہ تحتَ قدميها .. اجعل الجنہ مسكنها ♡
Mon Sep 24 05:36:19 PDT 2012 --  _: ❞❀¸ خلق آلرجل للآنثی .. ليس لگي تعشقوآ بعضگم يآ معشر آلآنآث !                                 
Mon Sep 24 05:34:00 PDT 2012 --  خلق آلرجل للآنثی .. ليس لگي تعشقوآ بعضگم يآ معشر آلآنآث !                                 
Mon Sep 24 05:33:14 PDT 2012 --  ❞❀¸ حتى اولئكّ الذيِن لا نُزعجھمّ .. يعاتبوننا على الهدِوء
Sun Sep 23 17:32:15 PDT 2012 --  احدى ضحايا اليوم الوطني دعواتكم له اقسم بالله العظيم. ماشفنا من اليوم الوطني الا كل مآسي وكل مصايب والبركه منزوعه . http://twitter.com/FAISALALSULTAN4/status/250021402923651072/photo/1pic.twitter.com/I3twn9Vi ”
Sun Sep 23 09:45:56 PDT 2012 --  #ابن_طارق_الحبيب اخوه محمد صديق وزميل لي وارسل للتو برودكاست يشرح ماحصل ، اللهم اشفه pic.twitter.com/8BT7cwjC
Thu Sep 20 10:42:09 PDT 2012 --  إما تعال - وريح : ( القلب .. والعيّن ولا ، عن دروب : ) الرجاء - صك بابك (u) (u)
Thu Sep 20 10:39:48 PDT 2012 --  مرّات تلقى شخـص ترتاح لـھٓ حيل ودّك تسولف لـھٓ . ويسمع همومڳ ومرّات تلقى الهـم . والغم . والويل واقرب قريب تخاف يعرف علومڳ
Thu Sep 20 10:21:23 PDT 2012 --  كُل تأخيره فيهَا خيرة ; أهيَ حَقيقة , أمْ أنّهَا تقَال لتخفيف أوجَاعنَا وأمور صَبرنَا على أمَل تحقيقهَا وَ لَم تحِنْ بَعد '!
Thu Sep 20 10:20:46 PDT 2012 --  + "لا تُعاشر أشخاص لا تجد نفسك فيهم .. تتصننَّع شخصياتهم لتكون مثلهم فتَكُونْ معدُوم الوجُود. كُنْ "أَنتْ" أينما كُنت
Thu Sep 20 10:19:19 PDT 2012 --  آذآ گآن حوآرك هوُ : خلآصة فكركّ ! فإن تعآمُلكك هوَ / خُلآآصة تربــ̯͡يتكك
Wed Sep 19 12:30:50 PDT 2012 --  نهاية المباراه .. الف مبروووووووووووووووووووووك الإتحاد السعودي [ 4 ـ 2 ] قوانغ آه الصيني - دوري أبطال آسيا... http://fb.me/26ga7sFEf 
Wed Sep 19 11:58:50 PDT 2012 --  قوووووووووووووووووووووووووووووووووووووول راسية نايف هزازي بصناعة ابراهيم هزازي في الدقيقة 61 HAHSIM99
Tue Sep 18 20:41:34 PDT 2012 --  ھنآڱ شخَصَ:$ آذھَلني بطيَبة قلبہ آشعر بآلرآحہَ معہ & كل مًآ ٺحدثٺ آليہ :$ آشعر بآنِي آحبھَ بلآ سبب
Tue Sep 18 20:36:26 PDT 2012 --  - مع صديقاتي ، لآ يروُق ليَ توُخي الحَذر : هم طيشَي و جنَوني وَ اخواتي وَ معَجزهة القدَر ♡♡ !
Tue Sep 18 15:19:51 PDT 2012 --  صناعه امريكيه وصلت قبل شهرين في جده تباع بمناسبة اليوم الوطني . !!!! احذروها http://www.imgur.com/3lqz3.jpg  لاحول ولا قوة الا بالله
Mon Sep 17 13:07:16 PDT 2012 --  ماذا سيكلفكم لو ختمتم كلماتكم بـ [ ماشاء الله ] ! فلاا تعلمون ماذا تفعل أعينكم ب حياة الآخرين ..
Mon Sep 17 13:07:01 PDT 2012 --  أ​نا اذا عصبت اصفق الابواب،ارمي اللي في يدي بس اذا مسكت الفون احس يقولي آتحداكك ‹› يا حبيبي انت غير الناس عندي انت عندي شي كبير ‹›
Sun Sep 16 23:18:22 PDT 2012 --  حشششششيش ي حبيبي =)) pic.twitter.com/tPkyyrCs
Mon Sep 17 00:12:29 PDT 2012 --  وحدهـ اتصلت ع زوجها وقالت:انت وينك حبيبي؟ قالها:انا عند امي يا روحي؟ قالت:طيب #يا روح امك خلص اللي بيدك وتعال عشآن امك عندنآ=)) #قفطوهـ هههه
Mon Sep 17 10:44:59 PDT 2012 --  ‏​الخليجي اذا طلب من مطعم: عطني وجبہ والبيبسي ابيه يكون سڤن أب ‹› ^ي حبيبي هذا شآفط نفط مو مخدرآآت
Mon Sep 17 13:00:25 PDT 2012 --  من لا يمتلك الثقه ، يراهآ عند الآخرين غرور
Sun Sep 16 11:24:59 PDT 2012 --  لجمهور الاتحاد الحاضرين لقاء الأربعاء .. في الدقيقة 18 .. وقفة وفاء للأسطورة محمد نور .. وترديد بعض الأهازيج الخاصة به ..' #ريتويت آتحآدي ."
Sun Sep 16 03:26:50 PDT 2012 --  صـوره مـحـزنـه ... الـبـطـه الـتـي احـزنـت الـعـالـم ...! pic.twitter.com/nJlGd8m9
Fri Sep 14 16:44:31 PDT 2012 --  ​لست انسانه مميزه ' لكني ﻵ أنآفق ، ۆ لا آجامل وُ لا آوهمَ آحَداً : ) ب : آخلاق مُزيفہ .. ♡♡♡
Fri Sep 14 16:42:42 PDT 2012 --  __ لا سُلطہ هَ لناا على قلوبناا ! .. فھي تنبض : لمَن اراادت ♡♡♡♡♡♡
Fri Sep 14 16:41:52 PDT 2012 --  تَدرِيْ ۆِش مَعنَى آلظّلَآم ..؟! لـَآصِرت آنَآظِر هَـ آلبِششرٍ . . . ۆمنت مَعهُــــمّ
Fri Sep 14 16:40:03 PDT 2012 --  لستُ گامل بل ٺتملگنيْ بعض العيُوب سَامحوا قلبيْ حين يُخطئ فَ أنآ لستُ مَعگم للأبد ()*
Fri Sep 14 16:38:53 PDT 2012 --  هدوء آخر الليل ، يشبہَ : / المسآفر . . ​​​اإذآ رحل إلى آلغربہَ ! يبدأ يتذگگر المآضيُ ♡̷̷̷̷̷
Fri Sep 14 16:37:55 PDT 2012 --  - أدفن أحلآمك ورآ ظهرك وربك يعينِ كلنآ نحلم لكن الله م كتبِ !!
Thu Sep 13 07:04:48 PDT 2012 --  80 ممثلا في الفيلم المسئ للرسول يتبرأون من العمل ويعتذرون من المسلمين.
Fri Sep 14 05:53:12 PDT 2012 --  احراق " كنتاكي " في مدينة طرابلس اللبنانية احتجاجاً على الفيلم المسيء. صورة 2 http://yfrog.com/od6vlhfzj 
Thu Sep 13 05:22:58 PDT 2012 --  السفارة الأمريكية منطقة بيان شارع المسجد الأقصى الليلة بعد صلاة العشاء نصرة لرسول الله #غرد_لنصرة_رسول_الله #اعتصام_السفارة_الامريكية
Tue Sep 11 23:58:59 PDT 2012 --  نعم قرأت شروط التسجیل و أوافق علیها .. من أكذب ما وافقت عليه :|</3 ! هههههههههههههههههههههههههههه:O=))</3 !
Tue Sep 11 23:25:30 PDT 2012 --  ヽ｀、 ヽ｀、｀｀、｀ヽ｀、ヽヽヽ、 ヽ｀ヽ｀｀、ヽ｀｀、ヽ｀、ヽ、ヽ｀ ヽ、、ヽ｀、、ヽ｀、.｀ـ、ヽ｀ 、、ヽ｀｀、ヽ｀ヽ、اللهم امطر على اهل الشام فرجاً قريباً、ヽ｀ヽ ｀、ヽ、 ｀｀、ヽ｀、、｀قول امين
Tue Sep 11 22:54:50 PDT 2012 --  كن رجلاً ولا تزاحم النساء عَ #النعومه و كوني أنثى ولا تزاحمي الذكور عَ #الرجوله !!
Tue Sep 11 22:29:20 PDT 2012 --  اخطاء نقع فيها: الله أكبر الله وأكبر✘ ان شاءالله انشاءالله✘ صلى الله عليه واله وسلم (ص)✘ اللهم صل على محمد اللهم صلي على محمد✘
Tue Sep 11 20:19:56 PDT 2012 --  للصباح رونق بھي يحتاج منك استقبالاً حافلاً بكل حُب وباقه رقيقه من الأذكار گفيله بأن تٌسعد روحك باقي اليوم ،، # صبآحُ الخير ، ~o)♡"
Tue Sep 11 20:08:39 PDT 2012 --  ​في الفجر رووعهه لٱ يستشعرها . . إلا من آستيقظ لأدآآء فريضته ♡ + وبك آصبحنآا يَآ كَريم ♡
Tue Sep 11 20:07:07 PDT 2012 --  اَلصصبآح حكآيه تخبرنآ إن الأمآني مهمآ تأجلت ! سيأتي فجرهآ لِ/ تشرق .. فإستبشروآ وتفائلوآ،، صباح الخير
Sat Sep 08 18:11:19 PDT 2012 --  عندما نشكو من قلة التوفيق وتشتت الرأي وتعكر الذهن فلنسأل انفسنا :هل اعطينا الصلاة حقها ؟ #صلاة_الفجر
Tue Sep 11 20:02:01 PDT 2012 --  الصمـــت فن : فإذا كنت فـناناً في صمتـك أصبحت مـبدعاً فـي كلامك
Sat Sep 08 12:10:18 PDT 2012 --  عظَمة عقلك تخلق لك الحساد .. وعظَمة قلبك تخلق لك الأصدقاء
Sat Sep 08 12:08:24 PDT 2012 --  __ ااكثر الأشخاص : ااهميةَ ;* هم الذين يسكنون خيالناا قبل النوم ، !*
Fri Sep 07 12:43:31 PDT 2012 --  هل سنفعل ذلك pic.twitter.com/pd7UC9Fd
Sat Sep 08 10:06:18 PDT 2012 --  فـ اليابآن الخروج من الحمآم (اكرمكم الله) بالبصمة ! اذآ الحمآم #نظيف يفتح لك .. واذا وصخ تنظفه ! [لو عندنآ كآن نص الشعب مسجون بـ الحمآم] =))
Sat Sep 08 10:19:18 PDT 2012 --  أقصى درجات السعادة .. هو أن نجد من يحبنا فعلا .. يحبنا على ما نحن عليه .. أو بمعنى أدق يحبنا برغم ما نحن عليه - نجيب محفوظ
Fri Sep 07 11:28:54 PDT 2012 --  دمعِي سُرعان مآ يتسآقط من عِيني على أتفِه الاسبآبّ .. شيءِ لطآلما تَمنيت تغييّره ولمّ أستطِع ذلكَ مطلقاً
Fri Sep 07 11:23:11 PDT 2012 --  ااِلسَعادةٌ لييسٺَ حَحلم و لااااِ وههمَ ' وَلاااِ ااِمر محَاال بلَ هيَ ٺفااِؤل وَحسنَ ظنَ باللہ وصبرَ بغِير ااسٺعجال
Fri Sep 07 11:20:56 PDT 2012 --  يحدث احيانا أن تموت رغبتنا عن كل مَ حولنا ولا نفعل سوى ان نُحدق في الاشياء بملل ااو ننام ')
Fri Sep 07 11:20:19 PDT 2012 --  سأهمل اكثر واكثر حتى أعرف من هم من احبوني بصدق ۈمن هم من اجادو فن تمثيل الحب
Fri Sep 07 11:19:17 PDT 2012 --  ربي حين يتسارع قلبي موشكاً على آلتوقف هب لي لساناً ناطقاً بَ الشهاده وعينا ترىَ مكانها في الجنه
Fri Sep 07 10:40:59 PDT 2012 --  فيني عتب بس أستحي من عتابه !! دامه رحل بعيد و في حقي اهمَل ,, بقى السؤال اللي أبي له إجابه !! ليه المحبه في البدايات أجمل ؟ ..♡̷
Thu Sep 06 17:41:25 PDT 2012 --  ابتسمو فنحن نحمل ديانه السعاده ...فابمجرد ان تبتسم تسجل حسنه
Thu Sep 06 17:40:24 PDT 2012 --  غاب لأنہ يحمل بجوفہ ثقہ بأني سأتبعہ و نسي انيّ بكبريائي لا اتبع الراحلين.
Wed Sep 05 20:47:41 PDT 2012 --  نشوف المحل الثاني ونرجع لك #من_اكثر_ما_قلت =D!
Wed Sep 05 18:10:13 PDT 2012 --  من أفضل أنواع الرجيـم : التوقف عن أكل لحوم البشر #الحش ..
Thu Sep 06 17:36:57 PDT 2012 --  هذا طبعـــي أعـــذر ثم أعـــذر ثم أعـــذر ثم #أعــــــــــوف
Thu Sep 06 17:36:27 PDT 2012 --  ما اروع الانسان الذي لا يتكلم كثيرا لكنه : إذا تكلم أسكت الكثير
Thu Sep 06 16:55:56 PDT 2012 --  وانا اقول وين شايفه قبل =)) http://t.co/wNzDywdc #برودكاست_صور
Thu Sep 06 10:57:34 PDT 2012 --  احذرو من قولstop pic.twitter.com/Tzq6WIuN
Sat Jul 07 08:37:44 PDT 2012 --  راحو الطيبين !! الي كان يسوي هالحركة ريتويت pic.twitter.com/9Kchu2rZ
Tue Sep 04 21:00:17 PDT 2012 --  د.محمد العريفي..بعنوان"دلوني على الطريق" اليوم الأربعاء_بملتقى شباب الرياض شرق مخرج16بجانب الساحات البلدية_س:9 م للرجال pic.twitter.com/8bwRP4YN
Mon Sep 03 09:44:04 PDT 2012 --  أمس زرت صديقي الغالي منصور البلوي بعد غيابه اسابيع عن السعوديه ، ابوثامر بألف خير ولازال العميد في قلبه ، قدم وساند ولن تنساة جماهير ناديه .
Tue Sep 04 17:03:08 PDT 2012 --  لن أنسى من كان بجانبي عندما إحتجته و لن أنسى من تخلى عني و خذلني ، ففي الحالتين هناك بصمه لن تنسى أبدا ..!
Tue Sep 04 17:02:25 PDT 2012 --  الانثى كالموسيقى .. لا تعطي ألحانها إلا لمن يتقن العزف على أوتارها ،، !
Tue Sep 04 15:49:14 PDT 2012 --  في الدنيا ثلآث : [ آمل , آلم , آجر ] فعش الآولى وتحمْل الثآنيه لآجل الثآلثه !
Tue Sep 04 15:46:25 PDT 2012 --  لو كان الإنسان [ يستغفر ] أكثر مما يشتكي لوجد راحته قبل أن يشكي .. ♡ استغفر اللّه العظّيم ♡!
Tue Sep 04 17:01:30 PDT 2012 --  «لا يوجد فرق بين لون الملح ولون السكر. كلاهما نفس اللون ولكن ستعرف الفرق بعد التجربة كذلك هم البشر!»
Tue Sep 04 14:52:49 PDT 2012 --  اللَّهُمَّ إِنِّى أَعُوذُ بِكَ مِنْ زَوَالِ نِعْمَتِكَ وَتَحَوُّل عَافِيَتِكَ وَفُجَاءَةِ نِقْمَتِك وَجَمِيعِ سَخَطِك
Mon Sep 03 08:23:04 PDT 2012 --  #حملة_مليون_اتحادي_بتويتر # ريتويت_وفلو
Mon Sep 03 22:01:02 PDT 2012 --  هـنـاك شـئ اسـمـه الـثـقـه بـالـنـفـس .. فـكـلام الـنـآس آرآء ولـيـسـت حـقـيـقـةُ
Mon Sep 03 19:13:45 PDT 2012 --  آحققرَ . ـأَنسٍان .! منُ يترآهننُ . معَ ـأَصحآآإَبة .! لــِـِ : گسسرُ . مششآآإعرَ . شخص .!
Mon Sep 03 18:56:02 PDT 2012 --  احيانا تبتسم لـ تصرفات البعض ليس لانها جميله بل لانها في: غاية الوقاحه !
Mon Sep 03 18:55:23 PDT 2012 --  حقيقـۃ ​​​​​​عِندَمآ تَفرَح تَذهَب إلى أگِثر شخص تحبه وَ عِندَمآ تحزن تَلجْأ إلى أگِثر شخص يحبگ مآ أروع أن يگِون هـوَ نفس آلشخص في آلحآلتين
Tue Aug 14 14:45:17 PDT 2012 --  @T3P وهذي ألا تستحق رتويت pic.twitter.com/UCjkAd1s
Mon Sep 03 18:53:26 PDT 2012 --  من ااجمل ماايقال كل يوم ، اللہم ااني وكلتک اامري .. فكن لي خير وكيل ودبر لي اامري فاني لاا ااحسسَن التدبير ♡~o) '.
Mon Sep 03 18:39:15 PDT 2012 --  " تعديل نظام ﺎلنوم " من ﺎصعب و ﺎفشل ﺎلمشاريع :|</3 #وشكراً ‹› #من_قلب_الحدث ‹
Mon Sep 03 18:12:05 PDT 2012 --  كن دائماً ، جسراً يُصلح بين النّاس و إيّاك أن تكون حاجزاً يُفرّق . . بينهم ♡
